Nombre Dispositivo:;;HiTemp140;HiTemp140;HiTemp140;HiTemp140;HiTemp140;HiTemp140;HiTemp140;HiTemp140;HiTemp140;HiTemp140;PR140;
Descripción del dispositivo:;;Registrador Temperatura;Registrador Temperatura;Registrador Temperatura;Registrador Temperatura;Registrador Temperatura;Registrador Temperatura;Registrador Temperatura;Registrador Temperatura;Registrador Temperatura;Registrador Temperatura;Registrador de Alta Temperatura, Presión;
Número de Serie:;;R14494;R14506;R14499;R14507;R14488;R14495;R14487;R14498;R14501;R14497;R14382;
ID Dispositivo:;;MultiChannel;MultiChannel;MultiChannel;MultiChannel;MultiChannel;MultiChannel;MultiChannel;MultiChannel;MultiChannel;MultiChannel;MultiChannel;
;;;;;;;;;;;;;
;;Canal 1;Canal 1;Canal 1;Canal 1;Canal 1;Canal 1;Canal 1;Canal 1;Canal 1;Canal 1;Canal 1;
Fecha ;Tiempo;Temperatura   (°C);Temperatura   (°C);Temperatura   (°C);Temperatura   (°C);Temperatura   (°C);Temperatura   (°C);Temperatura   (°C);Temperatura   (°C);Temperatura   (°C);Temperatura   (°C);Presión (bar);
29/04/2020;8:00:00;16,93;16,79;16,94;17,43;16,66;16,83;16,97;16,79;16,64;17,02;0,9557;
29/04/2020;8:00:30;16,93;16,79;16,94;17,42;16,65;16,83;16,96;16,79;16,63;17,01;0,9556;
29/04/2020;8:01:00;16,93;16,78;16,94;17,42;16,65;16,83;16,96;16,79;16,63;17,01;0,9557;
29/04/2020;8:01:30;16,93;16,78;16,93;17,42;16,64;16,83;16,96;16,79;16,62;17,01;0,9557;
29/04/2020;8:02:00;16,93;16,78;16,93;17,42;16,64;16,82;16,96;16,79;16,62;17,01;0,9557;
29/04/2020;8:02:30;16,92;16,78;16,93;17,42;16,64;16,82;16,96;16,78;16,62;17,01;0,9558;
29/04/2020;8:03:00;16,93;16,78;16,93;17,42;16,64;16,83;16,96;16,78;16,62;17,01;0,9557;
29/04/2020;8:03:30;16,93;16,77;16,93;17,41;16,64;16,82;16,96;16,78;16,62;17;0,9557;
29/04/2020;8:04:00;16,92;16,77;16,92;17,41;16,64;16,82;16,96;16,78;16,62;17;0,9557;
29/04/2020;8:04:30;16,92;16,77;16,92;17,41;16,64;16,82;16,95;16,78;16,62;17;0,9558;
29/04/2020;8:05:00;16,92;16,77;16,92;17,41;16,64;16,81;16,96;16,77;16,62;17;0,9556;
29/04/2020;8:05:30;16,92;16,77;16,92;17,41;16,63;16,82;16,95;16,77;16,61;17;0,9557;
29/04/2020;8:06:00;16,92;16,77;16,92;17,41;16,63;16,81;16,95;16,77;16,61;17;0,9556;
29/04/2020;8:06:30;16,92;16,77;16,92;17,4;16,64;16,81;16,95;16,77;16,62;17;0,9557;
29/04/2020;8:07:00;16,91;16,75;16,91;17,4;16,63;16,81;16,95;16,76;16,61;16,99;0,9557;
29/04/2020;8:07:30;16,91;16,75;16,91;17,4;16,63;16,81;16,95;16,77;16,61;16,99;0,9557;
29/04/2020;8:08:00;16,91;16,75;16,91;17,4;16,63;16,81;16,95;16,77;16,61;16,99;0,9557;
29/04/2020;8:08:30;16,91;16,75;16,91;17,4;16,63;16,8;16,94;16,76;16,61;16,99;0,9557;
29/04/2020;8:09:00;16,91;16,74;16,91;17,4;16,63;16,81;16,94;16,76;16,61;16,99;0,9557;
29/04/2020;8:09:30;16,91;16,75;16,91;17,4;16,62;16,8;16,94;16,76;16,6;16,99;0,9556;
29/04/2020;8:10:00;16,91;16,74;16,9;17,39;16,62;16,81;16,94;16,76;16,6;16,98;0,9556;
29/04/2020;8:10:30;16,9;16,74;16,9;17,4;16,62;16,8;16,94;16,76;16,6;16,98;0,9556;
29/04/2020;8:11:00;16,9;16,74;16,9;17,39;16,62;16,8;16,93;16,75;16,6;16,98;0,9556;
29/04/2020;8:11:30;16,9;16,74;16,9;17,39;16,62;16,8;16,93;16,75;16,6;16,98;0,9557;
29/04/2020;8:12:00;16,9;16,74;16,9;17,39;16,62;16,8;16,93;16,75;16,6;16,98;0,9557;
29/04/2020;8:12:30;16,9;16,74;16,9;17,39;16,61;16,79;16,93;16,75;16,59;16,98;0,9556;
29/04/2020;8:13:00;16,9;16,74;16,89;17,39;16,61;16,79;16,94;16,75;16,59;16,98;0,9556;
29/04/2020;8:13:30;16,89;16,73;16,89;17,39;16,61;16,79;16,93;16,75;16,59;16,97;0,9556;
29/04/2020;8:14:00;16,89;16,73;16,89;17,39;16,61;16,79;16,93;16,74;16,59;16,97;0,9557;
29/04/2020;8:14:30;16,9;16,73;16,89;17,39;16,61;16,79;16,93;16,75;16,59;16,97;0,9557;
29/04/2020;8:15:00;16,89;16,73;16,89;17,39;16,6;16,79;16,93;16,74;16,58;16,97;0,9557;
29/04/2020;8:15:30;16,89;16,73;16,89;17,38;16,61;16,79;16,93;16,74;16,59;16,97;0,9557;
29/04/2020;8:16:00;16,89;16,73;16,89;17,38;16,61;16,78;16,93;16,74;16,59;16,97;0,9556;
29/04/2020;8:16:30;16,89;16,73;16,88;17,38;16,61;16,78;16,92;16,74;16,59;16,97;0,9556;
29/04/2020;8:17:00;16,88;16,73;16,88;17,38;16,6;16,79;16,92;16,74;16,58;16,96;0,9557;
29/04/2020;8:17:30;16,89;16,72;16,88;17,38;16,6;16,78;16,92;16,73;16,58;16,96;0,9557;
29/04/2020;8:18:00;16,88;16,72;16,88;17,38;16,6;16,78;16,92;16,73;16,58;16,96;0,9557;
