RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;7201300563;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;2121;;
Temperature Maximum;25.2°C;;
Temperature Minimum;19.5°C;;
Temperature Average;20.7°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;51%RH;;
Humidity Minimum;37.7%RH;;
Humidity Average;47.6%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-03-03 12:45:40;;
End Time;2022-03-10 21:25:40;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-03-03 12:45:40;24.1;42
2;2022-03-03 12:50:40;24.4;39.9
3;2022-03-03 12:55:40;22.9;40.8
4;2022-03-03 13:00:40;22.1;41.8
5;2022-03-03 13:05:40;21.5;42.3
6;2022-03-03 13:10:40;21.3;42.8
7;2022-03-03 13:15:40;21.2;42.8
8;2022-03-03 13:20:40;21.1;43.3
9;2022-03-03 13:25:40;21;43.8
10;2022-03-03 13:30:40;21;43.3
11;2022-03-03 13:35:40;20.9;43.8
12;2022-03-03 13:40:40;20.9;43.8
13;2022-03-03 13:45:40;20.9;43.8
14;2022-03-03 13:50:40;20.9;43.8
15;2022-03-03 13:55:40;20.9;43.8
16;2022-03-03 14:00:40;20.9;43.8
17;2022-03-03 14:05:40;20.9;43.8
18;2022-03-03 14:10:40;20.9;43.8
19;2022-03-03 14:15:40;20.9;43.8
20;2022-03-03 14:20:40;20.9;43.8
21;2022-03-03 14:25:40;20.9;43.8
22;2022-03-03 14:30:40;21;43.8
23;2022-03-03 14:35:40;21.1;43.8
24;2022-03-03 14:40:40;21.2;43.8
25;2022-03-03 14:45:40;21.3;43.8
26;2022-03-03 14:50:40;21.3;44.4
27;2022-03-03 14:55:40;21.3;43.8
28;2022-03-03 15:00:40;21.2;43.8
29;2022-03-03 15:05:40;21.2;43.8
30;2022-03-03 15:10:40;21.2;43.8
31;2022-03-03 15:15:40;21.1;43.8
32;2022-03-03 15:20:40;21.1;43.8
33;2022-03-03 15:25:40;21.1;43.8
34;2022-03-03 15:30:40;21.1;43.8
35;2022-03-03 15:35:40;21.1;43.8
36;2022-03-03 15:40:40;21.1;43.8
37;2022-03-03 15:45:40;21.1;43.8
38;2022-03-03 15:50:40;21.1;43.8
39;2022-03-03 15:55:40;21.2;43.8
40;2022-03-03 16:00:40;21.2;43.8
41;2022-03-03 16:05:40;21.2;43.8
42;2022-03-03 16:10:40;21.1;43.8
43;2022-03-03 16:15:40;21.1;43.8
44;2022-03-03 16:20:40;21.1;43.8
45;2022-03-03 16:25:40;21;43.8
46;2022-03-03 16:30:40;21;43.8
47;2022-03-03 16:35:40;20.9;43.8
48;2022-03-03 16:40:40;20.9;43.3
49;2022-03-03 16:45:40;20.9;43.3
50;2022-03-03 16:50:40;20.9;43.3
51;2022-03-03 16:55:40;20.9;43.8
52;2022-03-03 17:00:40;20.9;43.8
53;2022-03-03 17:05:40;20.9;43.8
54;2022-03-03 17:10:40;20.9;43.8
55;2022-03-03 17:15:40;20.9;43.8
56;2022-03-03 17:20:40;20.9;44.3
57;2022-03-03 17:25:40;21;44.3
58;2022-03-03 17:30:40;21.1;44.9
59;2022-03-03 17:35:40;21.1;44.9
60;2022-03-03 17:40:40;21.1;45.4
61;2022-03-03 17:45:40;21.2;45.9
62;2022-03-03 17:50:40;21.2;45.9
63;2022-03-03 17:55:40;21.2;45.9
64;2022-03-03 18:00:40;21.2;45.9
65;2022-03-03 18:05:40;21.2;45.9
66;2022-03-03 18:10:40;21.2;45.9
67;2022-03-03 18:15:40;21.3;45.9
68;2022-03-03 18:20:40;21.3;45.9
69;2022-03-03 18:25:40;21.3;46.4
70;2022-03-03 18:30:40;21.3;46.4
71;2022-03-03 18:35:40;21.3;46.4
72;2022-03-03 18:40:40;21.3;46.4
73;2022-03-03 18:45:40;21.3;46.4
74;2022-03-03 18:50:40;21.3;47
75;2022-03-03 18:55:40;21.3;47
76;2022-03-03 19:00:40;21.3;47
77;2022-03-03 19:05:40;21.3;47
78;2022-03-03 19:10:40;21.3;47
79;2022-03-03 19:15:40;21.3;47
80;2022-03-03 19:20:40;21.3;47
81;2022-03-03 19:25:40;21.3;47
82;2022-03-03 19:30:40;21.3;47
83;2022-03-03 19:35:40;21.3;47
84;2022-03-03 19:40:40;21.3;47
85;2022-03-03 19:45:40;21.3;47
86;2022-03-03 19:50:40;21.3;47.5
87;2022-03-03 19:55:40;21.3;47
88;2022-03-03 20:00:40;21.3;47.5
89;2022-03-03 20:05:40;21.2;47.5
90;2022-03-03 20:10:40;21.2;47.5
91;2022-03-03 20:15:40;21.2;47.5
92;2022-03-03 20:20:40;21.2;47.5
93;2022-03-03 20:25:40;21.2;47.5
94;2022-03-03 20:30:40;21.2;48
95;2022-03-03 20:35:40;21.2;48
96;2022-03-03 20:40:40;21.2;48
97;2022-03-03 20:45:40;21.2;48
98;2022-03-03 20:50:40;21.2;48
99;2022-03-03 20:55:40;21.1;48
100;2022-03-03 21:00:40;21.1;48
101;2022-03-03 21:05:40;21.1;48
102;2022-03-03 21:10:40;21.1;48
103;2022-03-03 21:15:40;21.1;48
104;2022-03-03 21:20:40;21.1;48
105;2022-03-03 21:25:40;21.1;48
106;2022-03-03 21:30:40;21.1;48
107;2022-03-03 21:35:40;21.1;48
108;2022-03-03 21:40:40;21.1;48
109;2022-03-03 21:45:40;21.1;48
110;2022-03-03 21:50:40;21;48
111;2022-03-03 21:55:40;21;48
112;2022-03-03 22:00:40;21;48
113;2022-03-03 22:05:40;21;48
114;2022-03-03 22:10:40;21;48
115;2022-03-03 22:15:40;21;48
116;2022-03-03 22:20:40;21;48.5
117;2022-03-03 22:25:40;21;48.5
118;2022-03-03 22:30:40;21;48.5
119;2022-03-03 22:35:40;21;48.5
120;2022-03-03 22:40:40;21;48.5
121;2022-03-03 22:45:40;21;48.5
122;2022-03-03 22:50:40;21;48.5
123;2022-03-03 22:55:40;20.9;48.5
124;2022-03-03 23:00:40;20.9;48.5
125;2022-03-03 23:05:40;20.9;48.5
126;2022-03-03 23:10:40;20.9;48.5
127;2022-03-03 23:15:40;20.9;48.5
