RC-4HC Temperature+Humidity Data Logger;;;
User Information;V321;;
Number;00V321;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;1905-10-26 00:00:00;;
Temperature Maximum;26°C;;
Temperature Minimum;19.8°C;;
Temperature Average;21.3°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;49.1%RH;;
Humidity Minimum;35.1%RH;;
Humidity Average;45.6%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-03-03 12:46:49;;
End Time;2022-03-10 21:51:49;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-03-03 12:46:49;24;41.2
2;2022-03-03 12:51:49;24.2;39.9
3;2022-03-03 12:56:49;23.3;40.1
4;2022-03-03 13:01:49;22.8;40.4
5;2022-03-03 13:06:49;22.4;40.9
6;2022-03-03 13:11:49;22.2;41.2
7;2022-03-03 13:16:49;22.1;41.4
8;2022-03-03 13:21:49;22.1;41.6
9;2022-03-03 13:26:49;22;41.7
10;2022-03-03 13:31:49;21.9;41.7
11;2022-03-03 13:36:49;21.9;41.8
12;2022-03-03 13:41:49;21.8;41.8
13;2022-03-03 13:46:49;21.8;41.8
14;2022-03-03 13:51:49;21.8;41.8
15;2022-03-03 13:56:49;21.8;41.7
16;2022-03-03 14:01:49;21.8;41.8
17;2022-03-03 14:06:49;21.8;41.7
18;2022-03-03 14:11:49;21.8;41.7
19;2022-03-03 14:16:49;21.8;41.8
20;2022-03-03 14:21:49;21.8;41.8
21;2022-03-03 14:26:49;21.8;41.9
22;2022-03-03 14:31:49;21.9;41.9
23;2022-03-03 14:36:49;22;41.9
24;2022-03-03 14:41:49;22.1;41.9
25;2022-03-03 14:46:49;22.2;41.8
26;2022-03-03 14:51:49;22.2;42
27;2022-03-03 14:56:49;22.2;42.1
28;2022-03-03 15:01:49;22.2;41.9
29;2022-03-03 15:06:49;22.2;41.9
30;2022-03-03 15:11:49;22.2;41.9
31;2022-03-03 15:16:49;22.1;41.8
32;2022-03-03 15:21:49;22.1;41.7
33;2022-03-03 15:26:49;22.2;41.7
34;2022-03-03 15:31:49;22.2;41.7
35;2022-03-03 15:36:49;22.2;41.6
36;2022-03-03 15:41:49;22.2;41.5
37;2022-03-03 15:46:49;22.2;41.4
38;2022-03-03 15:51:49;22.2;41.4
39;2022-03-03 15:56:49;22.2;41.5
40;2022-03-03 16:01:49;22.2;41.5
41;2022-03-03 16:06:49;22.2;41.4
42;2022-03-03 16:11:49;22.2;41.4
43;2022-03-03 16:16:49;22.2;41.3
44;2022-03-03 16:21:49;22.2;41.3
45;2022-03-03 16:26:49;22.1;41.2
46;2022-03-03 16:31:49;22;41.2
47;2022-03-03 16:36:49;22;41.1
48;2022-03-03 16:41:49;21.9;41.2
49;2022-03-03 16:46:49;21.9;41.1
50;2022-03-03 16:51:49;21.8;41.2
51;2022-03-03 16:56:49;21.8;41.3
52;2022-03-03 17:01:49;21.8;41.4
53;2022-03-03 17:06:49;21.8;41.6
54;2022-03-03 17:11:49;21.8;41.6
55;2022-03-03 17:16:49;21.8;41.6
56;2022-03-03 17:21:49;21.9;41.6
57;2022-03-03 17:26:49;22;41.6
58;2022-03-03 17:31:49;22;41.7
59;2022-03-03 17:36:49;22.1;41.7
60;2022-03-03 17:41:49;22.2;41.8
61;2022-03-03 17:46:49;22.2;41.9
62;2022-03-03 17:51:49;22.2;42
63;2022-03-03 17:56:49;22.2;42.1
