RC-4HC Temperature+Humidity Data Logger;;;;
User Information;RC-4HC Data Logger V556;;;
Number;719AH10153;;;
Interval    ;0:5:0 H:M:S;;;
Delay Time;0.0 H;;;
Data Sum;28/10/1905 0:00;;;
Temperature Maximum;28.5°C;;;
Temperature Minimum;19.3°C;;;
Temperature Average;22.9°C;;;
Temperature Alarm Upper Limit;60.0°C;;;
Temperature Alarm Lower Limit;-30.0°C;;;
Humidity Maximum;49.1%RH;;;
Humidity Minimum;33.4%RH;;;
Humidity Average;43.1%RH;;;
Humidity Alarm Upper Limit;90%RH;;;
Humidity Alarm Lower Limit;20%RH;;;
Start Time;03/03/2022 12:57;;;
End Time;10/03/2022 22:12;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;
Temperature Unit;°C;;;
Number;Time;Temperature°C;Humidity%RH;
1;03/03/2022 12:57;24.5;45.1;
2;03/03/2022 13:02;25.9;44.8;
3;03/03/2022 13:07;25.5;44.7;
4;03/03/2022 13:12;25.5;44.7;
5;03/03/2022 13:17;25.6;45.3;
6;03/03/2022 13:22;25.6;45.3;
7;03/03/2022 13:27;25.7;44.7;
8;03/03/2022 13:32;25.8;44.8;
9;03/03/2022 13:37;26;44.8;
10;03/03/2022 13:42;26.2;44.3;
11;03/03/2022 13:47;26.2;44.3;
12;03/03/2022 13:52;26.3;44.3;
13;03/03/2022 13:57;26.4;44.3;
14;03/03/2022 14:02;26.5;43.8;
15;03/03/2022 14:07;26.6;43.8;
16;03/03/2022 14:12;26.7;43.2;
17;03/03/2022 14:17;26.8;43.3;
18;03/03/2022 14:22;26.8;43.3;
19;03/03/2022 14:27;27.2;43.3;
20;03/03/2022 14:32;27.4;42.8;
21;03/03/2022 14:37;27.4;42.8;
22;03/03/2022 14:42;27.4;42.8;
23;03/03/2022 14:47;27.5;42.8;
24;03/03/2022 14:52;27.5;42.3;
25;03/03/2022 14:57;27.4;42.2;
26;03/03/2022 15:02;27.7;42.3;22,89777778
27;03/03/2022 15:07;27.8;41.8;
28;03/03/2022 15:12;27.8;41.2;
29;03/03/2022 15:17;27.7;41.2;
30;03/03/2022 15:22;28;41.2;
31;03/03/2022 15:27;28;41.2;
32;03/03/2022 15:32;28;40.7;
33;03/03/2022 15:37;28;40.1;
34;03/03/2022 15:42;28;40.1;
35;03/03/2022 15:47;28;40.1;
36;03/03/2022 15:52;28.2;40.2;
