RC-4HC Temperature+Humidity Data Logger;;;
User Information;00V281;;
Number;V281;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;1905-10-10 00:00:00;;
Temperature Maximum;25.2°C;;
Temperature Minimum;19.8°C;;
Temperature Average;21.1°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;48.9%RH;;
Humidity Minimum;38.6%RH;;
Humidity Average;43.6%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-03-03 13:30:47;;
End Time;2022-03-10 21:15:47;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-03-03 13:30:47;23;48.9
2;2022-03-03 13:35:47;23;42
3;2022-03-03 13:40:47;22.4;41.7
4;2022-03-03 13:45:47;22.2;44
5;2022-03-03 13:50:47;22;42.8
6;2022-03-03 13:55:47;21.9;42.5
7;2022-03-03 14:00:47;21.9;44.1
8;2022-03-03 14:05:47;21.9;43
9;2022-03-03 14:10:47;21.9;43.9
10;2022-03-03 14:15:47;21.9;43.1
11;2022-03-03 14:20:47;21.9;42.8
12;2022-03-03 14:25:47;21.9;42.7
13;2022-03-03 14:30:47;22;42.7
14;2022-03-03 14:35:47;22.1;42.8
15;2022-03-03 14:40:47;22.3;42.8
16;2022-03-03 14:45:47;22.4;42.6
17;2022-03-03 14:50:47;22.3;42.9
18;2022-03-03 14:55:47;22.1;42.6
19;2022-03-03 15:00:47;22;42.6
20;2022-03-03 15:05:47;21.9;42.7
21;2022-03-03 15:10:47;21.9;42.7
22;2022-03-03 15:15:47;21.8;42.6
23;2022-03-03 15:20:47;21.9;43
24;2022-03-03 15:25:47;21.8;42.8
25;2022-03-03 15:30:47;21.8;42.7
26;2022-03-03 15:35:47;21.8;42.5
27;2022-03-03 15:40:47;21.8;42.6
28;2022-03-03 15:45:47;21.8;42.5
29;2022-03-03 15:50:47;21.8;42.8
30;2022-03-03 15:55:47;21.8;43
31;2022-03-03 16:00:47;21.8;42.9
32;2022-03-03 16:05:47;21.8;43
33;2022-03-03 16:10:47;21.8;42.6
34;2022-03-03 16:15:47;21.8;42.4
35;2022-03-03 16:20:47;21.8;42.3
36;2022-03-03 16:25:47;21.7;42.1
37;2022-03-03 16:30:47;21.7;42
38;2022-03-03 16:35:47;21.7;41.9
39;2022-03-03 16:40:47;21.7;41.8
40;2022-03-03 16:45:47;21.6;42
41;2022-03-03 16:50:47;21.6;42.3
42;2022-03-03 16:55:47;21.6;42.5
43;2022-03-03 17:00:47;21.7;42.8
44;2022-03-03 17:05:47;21.8;42.9
45;2022-03-03 17:10:47;21.8;42.6
46;2022-03-03 17:15:47;21.8;42.3
47;2022-03-03 17:20:47;21.7;42.2
48;2022-03-03 17:25:47;21.6;42
49;2022-03-03 17:30:47;21.5;41.9
50;2022-03-03 17:35:47;21.5;41.8
51;2022-03-03 17:40:47;21.4;41.6
52;2022-03-03 17:45:47;21.4;41.6
53;2022-03-03 17:50:47;21.3;41.5
54;2022-03-03 17:55:47;21.3;41.4
55;2022-03-03 18:00:47;21.2;41.3
56;2022-03-03 18:05:47;21.2;41.3
57;2022-03-03 18:10:47;21.2;41.3
58;2022-03-03 18:15:47;21.1;41.3
59;2022-03-03 18:20:47;21.1;41.2
60;2022-03-03 18:25:47;21;41.1
61;2022-03-03 18:30:47;21;41.1
62;2022-03-03 18:35:47;21;41
63;2022-03-03 18:40:47;20.9;41
64;2022-03-03 18:45:47;20.9;40.9
65;2022-03-03 18:50:47;20.9;40.9
66;2022-03-03 18:55:47;20.8;40.8
67;2022-03-03 19:00:47;20.8;40.8
68;2022-03-03 19:05:47;20.8;40.7
69;2022-03-03 19:10:47;20.7;40.7
70;2022-03-03 19:15:47;20.7;40.7
71;2022-03-03 19:20:47;20.7;40.6
72;2022-03-03 19:25:47;20.6;40.6
73;2022-03-03 19:30:47;20.6;40.6
74;2022-03-03 19:35:47;20.6;41.6
75;2022-03-03 19:40:47;20.6;41.3
76;2022-03-03 19:45:47;20.6;42.8
77;2022-03-03 19:50:47;20.5;41.6
78;2022-03-03 19:55:47;20.6;42.8
79;2022-03-03 20:00:47;20.5;41.7
80;2022-03-03 20:05:47;20.4;41.4
81;2022-03-03 20:10:47;20.4;41.2
82;2022-03-03 20:15:47;20.3;41
83;2022-03-03 20:20:47;20.3;42.1
84;2022-03-03 20:25:47;20.3;42.2
85;2022-03-03 20:30:47;20.3;42.1
86;2022-03-03 20:35:47;20.3;43
87;2022-03-03 20:40:47;20.3;42.1
88;2022-03-03 20:45:47;20.3;43.5
89;2022-03-03 20:50:47;20.3;43.6
90;2022-03-03 20:55:47;20.3;45
91;2022-03-03 21:00:47;20.5;45.5
92;2022-03-03 21:05:47;20.7;45.8
93;2022-03-03 21:10:47;20.8;45
94;2022-03-03 21:15:47;20.7;44.6
95;2022-03-03 21:20:47;20.8;44.3
96;2022-03-03 21:25:47;20.8;43.8
97;2022-03-03 21:30:47;20.8;44.3
98;2022-03-03 21:35:47;20.9;45.4
99;2022-03-03 21:40:47;20.9;45.5
100;2022-03-03 21:45:47;20.9;45.4
101;2022-03-03 21:50:47;21;45.7
102;2022-03-03 21:55:47;21.1;45.6
103;2022-03-03 22:00:47;21.1;45.5
104;2022-03-03 22:05:47;21.2;45.4
105;2022-03-03 22:10:47;21.3;45.2
106;2022-03-03 22:15:47;21.4;45.2
107;2022-03-03 22:20:47;21.4;45.1
108;2022-03-03 22:25:47;21.5;44.9
109;2022-03-03 22:30:47;21.5;44.9
110;2022-03-03 22:35:47;21.5;44.8
111;2022-03-03 22:40:47;21.5;44.7
112;2022-03-03 22:45:47;21.5;44.6
113;2022-03-03 22:50:47;21.6;44.6
114;2022-03-03 22:55:47;21.6;44.6
115;2022-03-03 23:00:47;21.6;44.5
116;2022-03-03 23:05:47;21.6;44.4
117;2022-03-03 23:10:47;21.6;44.4
118;2022-03-03 23:15:47;21.7;44.3
119;2022-03-03 23:20:47;21.7;44.2
120;2022-03-03 23:25:47;21.7;44.2
121;2022-03-03 23:30:47;21.7;44.1
122;2022-03-03 23:35:47;21.7;44.1
123;2022-03-03 23:40:47;21.7;44.1
124;2022-03-03 23:45:47;21.7;44
125;2022-03-03 23:50:47;21.7;44
126;2022-03-03 23:55:47;21.7;44
127;2022-03-04 00:00:47;21.7;44
128;2022-03-04 00:05:47;21.7;44
129;2022-03-04 00:10:47;21.7;43.9
130;2022-03-04 00:15:47;21.7;44
131;2022-03-04 00:20:47;21.7;43.9
132;2022-03-04 00:25:47;21.7;43.9
133;2022-03-04 00:30:47;21.7;43.9
134;2022-03-04 00:35:47;21.7;44
135;2022-03-04 00:40:47;21.7;43.9
136;2022-03-04 00:45:47;21.7;43.9
137;2022-03-04 00:50:47;21.7;44
138;2022-03-04 00:55:47;21.7;43.9
139;2022-03-04 01:00:47;21.7;43.9
140;2022-03-04 01:05:47;21.7;44
141;2022-03-04 01:10:47;21.6;44
142;2022-03-04 01:15:47;21.6;44
143;2022-03-04 01:20:47;21.6;44
144;2022-03-04 01:25:47;21.6;44
145;2022-03-04 01:30:47;21.6;44
146;2022-03-04 01:35:47;21.6;44
147;2022-03-04 01:40:47;21.6;44
148;2022-03-04 01:45:47;21.6;44.1
149;2022-03-04 01:50:47;21.6;44.1
150;2022-03-04 01:55:47;21.6;44.1
151;2022-03-04 02:00:47;21.6;44.1
152;2022-03-04 02:05:47;21.5;44.1
153;2022-03-04 02:10:47;21.5;44.1
154;2022-03-04 02:15:47;21.5;44.1
155;2022-03-04 02:20:47;21.5;44.2
156;2022-03-04 02:25:47;21.5;44.2
157;2022-03-04 02:30:47;21.5;44.2
158;2022-03-04 02:35:47;21.5;44.2
159;2022-03-04 02:40:47;21.5;44.2
160;2022-03-04 02:45:47;21.5;44.3
161;2022-03-04 02:50:47;21.5;44.3
162;2022-03-04 02:55:47;21.5;44.3
163;2022-03-04 03:00:47;21.5;44.3
164;2022-03-04 03:05:47;21.5;44.3
165;2022-03-04 03:10:47;21.5;44.4
166;2022-03-04 03:15:47;21.5;44.4
167;2022-03-04 03:20:47;21.4;44.4
168;2022-03-04 03:25:47;21.4;44.4
169;2022-03-04 03:30:47;21.4;44.5
170;2022-03-04 03:35:47;21.4;44.5
171;2022-03-04 03:40:47;21.4;44.5
172;2022-03-04 03:45:47;21.4;44.6
173;2022-03-04 03:50:47;21.4;44.6
174;2022-03-04 03:55:47;21.4;44.6
175;2022-03-04 04:00:47;21.4;44.6
176;2022-03-04 04:05:47;21.4;44.6
177;2022-03-04 04:10:47;21.4;44.7
178;2022-03-04 04:15:47;21.3;44.6
179;2022-03-04 04:20:47;21.3;44.7
180;2022-03-04 04:25:47;21.3;44.7
181;2022-03-04 04:30:47;21.3;44.7
182;2022-03-04 04:35:47;21.3;44.7
183;2022-03-04 04:40:47;21.3;44.8
184;2022-03-04 04:45:47;21.3;44.8
185;2022-03-04 04:50:47;21.3;44.8
186;2022-03-04 04:55:47;21.3;44.8
187;2022-03-04 05:00:47;21.3;44.8
188;2022-03-04 05:05:47;21.2;44.8
189;2022-03-04 05:10:47;21.2;44.9
190;2022-03-04 05:15:47;21.2;44.9
191;2022-03-04 05:20:47;21.2;44.9
192;2022-03-04 05:25:47;21.2;44.9
193;2022-03-04 05:30:47;21.2;45
194;2022-03-04 05:35:47;21.2;45
195;2022-03-04 05:40:47;21.2;45
196;2022-03-04 05:45:47;21.2;45
197;2022-03-04 05:50:47;21.2;45
198;2022-03-04 05:55:47;21.2;45
199;2022-03-04 06:00:47;21.1;45
200;2022-03-04 06:05:47;21.1;45.1
201;2022-03-04 06:10:47;21.1;45.1
202;2022-03-04 06:15:47;21.1;45.1
203;2022-03-04 06:20:47;21.1;45.1
204;2022-03-04 06:25:47;21.1;45.1
205;2022-03-04 06:30:47;21.1;45.2
206;2022-03-04 06:35:47;21.1;45.2
207;2022-03-04 06:40:47;21.1;45.2
208;2022-03-04 06:45:47;21.1;45.2
209;2022-03-04 06:50:47;21;45.2
210;2022-03-04 06:55:47;21;45.2
211;2022-03-04 07:00:47;21;45.3
212;2022-03-04 07:05:47;21;45.2
213;2022-03-04 07:10:47;21;45.3
214;2022-03-04 07:15:47;21;45.4
215;2022-03-04 07:20:47;21;45.3
216;2022-03-04 07:25:47;21;45.4
217;2022-03-04 07:30:47;21;45.3
218;2022-03-04 07:35:47;21;45.3
219;2022-03-04 07:40:47;21;45.4
220;2022-03-04 07:45:47;21;45.4
221;2022-03-04 07:50:47;21;45.4
222;2022-03-04 07:55:47;20.9;45.4
223;2022-03-04 08:00:47;20.9;45.4
224;2022-03-04 08:05:47;20.9;45.5
225;2022-03-04 08:10:47;20.9;45.5
226;2022-03-04 08:15:47;20.9;45.5
227;2022-03-04 08:20:47;20.9;45.5
228;2022-03-04 08:25:47;20.9;45.5
229;2022-03-04 08:30:47;20.9;45.5
230;2022-03-04 08:35:47;20.9;45.6
231;2022-03-04 08:40:47;20.9;45.8
232;2022-03-04 08:45:47;20.9;45.9
233;2022-03-04 08:50:47;20.9;46.3
234;2022-03-04 08:55:47;20.9;47.2
235;2022-03-04 09:00:47;21;47.3
236;2022-03-04 09:05:47;21;47.4
237;2022-03-04 09:10:47;21;47.4
238;2022-03-04 09:15:47;21;47.5
239;2022-03-04 09:20:47;21;47.4
240;2022-03-04 09:25:47;21;47.5
241;2022-03-04 09:30:47;21.1;47.6
242;2022-03-04 09:35:47;21.1;47.8
243;2022-03-04 09:40:47;21.2;48.2
244;2022-03-04 09:45:47;21.2;48.4
245;2022-03-04 09:50:47;21.2;48.8
246;2022-03-04 09:55:47;21.3;48.8
247;2022-03-04 10:00:47;21.3;48.8
248;2022-03-04 10:05:47;21.4;48.8
249;2022-03-04 10:10:47;21.4;48.8
250;2022-03-04 10:15:47;21.5;48.8
251;2022-03-04 10:20:47;21.5;48.8
252;2022-03-04 10:25:47;21.5;48.8
253;2022-03-04 10:30:47;21.5;48.8
254;2022-03-04 10:35:47;21.5;48.8
255;2022-03-04 10:40:47;21.6;48.8
256;2022-03-04 10:45:47;21.6;48.8
257;2022-03-04 10:50:47;21.7;48.8
258;2022-03-04 10:55:47;21.7;48.9
259;2022-03-04 11:00:47;21.8;48.8
260;2022-03-04 11:05:47;21.8;48.9
261;2022-03-04 11:10:47;21.8;48.9
262;2022-03-04 11:15:47;21.9;48.9
263;2022-03-04 11:20:47;21.7;48.8
264;2022-03-04 11:25:47;21.6;48.4
265;2022-03-04 11:30:47;21.6;47.6
266;2022-03-04 11:35:47;21.6;47.3
267;2022-03-04 11:40:47;21.6;47
268;2022-03-04 11:45:47;21.5;46.5
269;2022-03-04 11:50:47;21.5;47.1
270;2022-03-04 11:55:47;21.5;46.9
271;2022-03-04 12:00:47;21.4;46.7
272;2022-03-04 12:05:47;21.4;46.9
273;2022-03-04 12:10:47;21.3;46.1
274;2022-03-04 12:15:47;21.2;46.4
275;2022-03-04 12:20:47;21.2;48.8
276;2022-03-04 12:25:47;21.3;48.8
277;2022-03-04 12:30:47;21.3;48.8
278;2022-03-04 12:35:47;21.3;48.6
279;2022-03-04 12:40:47;21.2;46.7
280;2022-03-04 12:45:47;21.2;46.2
281;2022-03-04 12:50:47;21.1;46.6
282;2022-03-04 12:55:47;21.2;48.8
283;2022-03-04 13:00:47;21.2;47.1
284;2022-03-04 13:05:47;21.2;46.5
285;2022-03-04 13:10:47;21.2;46
286;2022-03-04 13:15:47;21.3;45.8
287;2022-03-04 13:20:47;21.2;45.4
288;2022-03-04 13:25:47;21.2;45.1
