RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V400;;
Number;7184200157;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2655;;
Temperature Maximum;22,7°C;;
Temperature Minimum;11,8°C;;
Temperature Average;16,3°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;69,1%RH;;
Humidity Minimum;48,7%RH;;
Humidity Average;60,9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-23 10:17:23;;
End Time;2022-05-02 15:27:23;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-04-23 10:17:23;19,7;50,8
2;2022-04-23 10:22:23;19,5;50,8
3;2022-04-23 10:27:23;19,6;50,3
4;2022-04-23 10:32:23;19,6;50,3
5;2022-04-23 10:37:23;19,5;50,3
6;2022-04-23 10:42:23;19,4;50,8
7;2022-04-23 10:47:23;19,1;51,2
8;2022-04-23 10:52:23;18,9;51,7
9;2022-04-23 10:57:23;18,9;51,7
10;2022-04-23 11:02:23;18,8;51,7
11;2022-04-23 11:07:23;18,8;52,2
12;2022-04-23 11:12:23;18,7;52,7
13;2022-04-23 11:17:23;18,7;53,2
14;2022-04-23 11:22:23;19,3;54,8
15;2022-04-23 11:27:23;18,9;54,7
16;2022-04-23 11:32:23;18,6;55,6
17;2022-04-23 11:37:23;18,6;55,6
18;2022-04-23 11:42:23;18,6;56,1
19;2022-04-23 11:47:23;18,6;56,1
20;2022-04-23 11:52:23;18,6;56,1
21;2022-04-23 11:57:23;18,6;56,1
22;2022-04-23 12:02:23;18,6;56,1
23;2022-04-23 12:07:23;18,6;56,6
24;2022-04-23 12:12:23;18,7;56,6
25;2022-04-23 12:17:23;18,8;56,1
26;2022-04-23 12:22:23;18,9;56,2
27;2022-04-23 12:27:23;19;55,7
28;2022-04-23 12:32:23;19,1;55,7
29;2022-04-23 12:37:23;19,1;55,7
30;2022-04-23 12:42:23;19,2;55,7
31;2022-04-23 12:47:23;19,3;55,7
32;2022-04-23 12:52:23;19,4;55,2
33;2022-04-23 12:57:23;19,4;55,3
34;2022-04-23 13:02:23;19,5;55,3
35;2022-04-23 13:07:23;19,6;54,8
36;2022-04-23 13:12:23;19,6;54,8
37;2022-04-23 13:17:23;19,6;54,8
38;2022-04-23 13:22:23;19,6;54,8
39;2022-04-23 13:27:23;19,7;54,8
40;2022-04-23 13:32:23;19,7;54,8
41;2022-04-23 13:37:23;19,8;54,3
42;2022-04-23 13:42:23;19,9;54,3
43;2022-04-23 13:47:23;20;53,8
44;2022-04-23 13:52:23;20;53,9
45;2022-04-23 13:57:23;20;53,9
46;2022-04-23 14:02:23;20,1;53,9
47;2022-04-23 14:07:23;20,1;53,9
48;2022-04-23 14:12:23;20,2;53,4
49;2022-04-23 14:17:23;20,2;53,4
50;2022-04-23 14:22:23;20,3;52,9
51;2022-04-23 14:27:23;20,3;52,9
