RC-4HC Temperature+Humidity Data Logger;;;;;
User Information;RC-4HC Data Logger;;;;
Number;V63;;;;
Interval    ;0:5:0 H:M:S;;;;
Delay Time;0,0 H;;;;
Data Sum;2758;;;;
Temperature Maximum;25,6°C;;;;
Temperature Minimum;14,8°C;;;;
Temperature Average;18°C;;;;
Temperature Alarm Upper Limit;60,0°C;;;;
Temperature Alarm Lower Limit;-30,0°C;;;;
Humidity Maximum;99,9%RH;;;;
Humidity Minimum;2,8%RH;;;;
Humidity Average;40,5%RH;;;;
Humidity Alarm Upper Limit;90%RH;;;;
Humidity Alarm Lower Limit;20%RH;;;;
Start Time;2022-04-24 21:53:47;;;;
End Time;2022-05-04 11:38:47;;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;;
Temperature Unit;°C;;;;
Number;Time;Temperature°C;Humidity%RH;;
1;2022-04-24 21:53:47;20,98;53,8;;
2;2022-04-24 21:58:47;20,78;53,7;;
3;2022-04-24 22:03:47;20,68;53,7;;
4;2022-04-24 22:08:47;20,58;54,2;;
5;2022-04-24 22:13:47;20,48;54,7;;
6;2022-04-24 22:18:47;20,38;54,7;;
7;2022-04-24 22:23:47;20,38;54,7;;
8;2022-04-24 22:28:47;20,28;54,7;;
9;2022-04-24 22:33:47;20,18;54,2;;
10;2022-04-24 22:38:47;20,18;54,7;;
11;2022-04-24 22:43:47;20,08;54,2;;
12;2022-04-24 22:48:47;20,08;54,2;;
13;2022-04-24 22:53:47;20,08;53,7;;
14;2022-04-24 22:58:47;20,08;53,7;;
15;2022-04-24 23:03:47;20,08;53,7;;
16;2022-04-24 23:08:47;19,98;54,3;;
17;2022-04-24 23:13:47;20,08;54,3;;
18;2022-04-24 23:18:47;20,08;54,3;;
19;2022-04-24 23:23:47;19,98;54,3;;
20;2022-04-24 23:28:47;20,08;54,3;;
21;2022-04-24 23:33:47;20,08;54,3;;
22;2022-04-24 23:38:47;20,08;53,8;;
23;2022-04-24 23:43:47;20,08;53,8;;
24;2022-04-24 23:48:47;20,08;53,8;;
25;2022-04-24 23:53:47;20,08;53,8;;
26;2022-04-24 23:58:47;20,08;53,3;;
27;2022-04-25 00:03:47;20,08;53,3;;
28;2022-04-25 00:08:47;20,08;53,3;;
29;2022-04-25 00:13:47;20,08;52,8;;
30;2022-04-25 00:18:47;20,08;52,8;;
31;2022-04-25 00:23:47;20,18;52,8;;
32;2022-04-25 00:28:47;20,18;52,8;;
33;2022-04-25 00:33:47;20,18;52,8;;
34;2022-04-25 00:38:47;20,18;52,7;;
35;2022-04-25 00:43:47;20,18;52,7;;
36;2022-04-25 00:48:47;20,18;52,7;;
37;2022-04-25 00:53:47;20,18;52,7;;
38;2022-04-25 00:58:47;20,28;52,7;;
39;2022-04-25 01:03:47;20,28;52,7;;
40;2022-04-25 01:08:47;20,28;52,7;;
