RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data LoggerV342;;
Number;7184200118;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2545;;
Temperature Maximum;24°C;;
Temperature Minimum;14,8°C;;
Temperature Average;17,9°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;63%RH;;
Humidity Minimum;43,3%RH;;
Humidity Average;55,1%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:42:01;;
End Time;2022-05-04 11:42:01;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-04-25 15:42:01;22,3;50,6
2;2022-04-25 15:47:01;22,5;50,6
3;2022-04-25 15:52:01;22,4;50,6
4;2022-04-25 15:57:01;22,6;51,1
5;2022-04-25 16:02:01;22,6;50,1
6;2022-04-25 16:07:01;22,5;50,1
7;2022-04-25 16:12:01;22,5;50,1
8;2022-04-25 16:17:01;22,4;50,6
9;2022-04-25 16:22:01;22,4;50,6
10;2022-04-25 16:27:01;22,4;50,1
11;2022-04-25 16:32:01;22,4;50,1
12;2022-04-25 16:37:01;22,4;50,6
13;2022-04-25 16:42:01;22,4;50,6
14;2022-04-25 16:47:01;22,5;50,6
15;2022-04-25 16:52:01;22,6;50,7
16;2022-04-25 16:57:01;22,7;51,2
17;2022-04-25 17:02:01;22,9;51,2
18;2022-04-25 17:07:01;22,9;50,7
19;2022-04-25 17:12:01;22,9;50,2
20;2022-04-25 17:17:01;22,9;50,2
21;2022-04-25 17:22:01;22,9;50,2
22;2022-04-25 17:27:01;22,8;50,2
23;2022-04-25 17:32:01;22,7;50,1
24;2022-04-25 17:37:01;22,6;50,1
25;2022-04-25 17:42:01;22,5;50,1
26;2022-04-25 17:47:01;22,4;50,1
27;2022-04-25 17:52:01;22,4;50,1
28;2022-04-25 17:57:01;22,3;50,1
29;2022-04-25 18:02:01;22,2;50,1
30;2022-04-25 18:07:01;22,2;50,1
31;2022-04-25 18:12:01;22,1;50,1
32;2022-04-25 18:17:01;22;50,1
33;2022-04-25 18:22:01;21,9;50,1
34;2022-04-25 18:27:01;21,9;50
35;2022-04-25 18:32:01;21,8;50
36;2022-04-25 18:37:01;21,8;50,6
37;2022-04-25 18:42:01;21,8;50
38;2022-04-25 18:47:01;21,7;50,5
39;2022-04-25 18:52:01;21,7;50,5
40;2022-04-25 18:57:01;21,7;50,5
41;2022-04-25 19:02:01;21,7;50,5
42;2022-04-25 19:07:01;21,6;50,5
43;2022-04-25 19:12:01;21,6;50,5
44;2022-04-25 19:17:01;21,6;50,5
45;2022-04-25 19:22:01;21,6;50,5
46;2022-04-25 19:27:01;21,5;50,5
47;2022-04-25 19:32:01;21,5;50,5
48;2022-04-25 19:37:01;21,5;50,5
49;2022-04-25 19:42:01;21,5;50,5
50;2022-04-25 19:47:01;21,5;50,5
