RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger-V-351;;
Number;7184200193;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2551;;
Temperature Maximum;24,5°C;;
Temperature Minimum;14,5°C;;
Temperature Average;18°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;62,1%RH;;
Humidity Minimum;38,5%RH;;
Humidity Average;53,8%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:30:06;;
End Time;2022-05-04 12:00:06;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-04-25 15:30:06;23,5;49,2
2;2022-04-25 15:35:06;22,9;49,1
3;2022-04-25 15:40:06;22,3;49
4;2022-04-25 15:45:06;22;50
5;2022-04-25 15:50:06;21,9;50
6;2022-04-25 15:55:06;21,8;50,5
7;2022-04-25 16:00:06;22;51
8;2022-04-25 16:05:06;22;50,5
9;2022-04-25 16:10:06;22;50,5
10;2022-04-25 16:15:06;22,1;51
11;2022-04-25 16:20:06;22,1;51
12;2022-04-25 16:25:06;22,1;50,5
13;2022-04-25 16:30:06;22,2;50,5
14;2022-04-25 16:35:06;22,2;50
15;2022-04-25 16:40:06;22,4;50
16;2022-04-25 16:45:06;22,6;50,1
17;2022-04-25 16:50:06;22,8;50,1
18;2022-04-25 16:55:06;22,9;50,1
19;2022-04-25 17:00:06;23;50,1
20;2022-04-25 17:05:06;23;50,1
21;2022-04-25 17:10:06;22,9;50,1
22;2022-04-25 17:15:06;22,9;50,1
23;2022-04-25 17:20:06;22,8;50,1
24;2022-04-25 17:25:06;22,6;50,1
25;2022-04-25 17:30:06;22,5;50,1
26;2022-04-25 17:35:06;22,4;50
27;2022-04-25 17:40:06;22,3;50
28;2022-04-25 17:45:06;22,3;50
29;2022-04-25 17:50:06;22,2;50
30;2022-04-25 17:55:06;22,2;50
31;2022-04-25 18:00:06;22,2;50
32;2022-04-25 18:05:06;22,1;50
33;2022-04-25 18:10:06;22,1;50
34;2022-04-25 18:15:06;22;50
35;2022-04-25 18:20:06;22;50
36;2022-04-25 18:25:06;22;50
37;2022-04-25 18:30:06;22;50
38;2022-04-25 18:35:06;22;50
39;2022-04-25 18:40:06;22;50
40;2022-04-25 18:45:06;21,9;50
41;2022-04-25 18:50:06;21,9;50
42;2022-04-25 18:55:06;21,9;50
43;2022-04-25 19:00:06;21,9;50
44;2022-04-25 19:05:06;21,9;49,5
45;2022-04-25 19:10:06;21,9;50
46;2022-04-25 19:15:06;21,9;49,5
47;2022-04-25 19:20:06;21,9;49,5
48;2022-04-25 19:25:06;21,8;50
49;2022-04-25 19:30:06;21,8;49,5
50;2022-04-25 19:35:06;21,8;50
51;2022-04-25 19:40:06;21,8;49,5
52;2022-04-25 19:45:06;21,8;49,5
53;2022-04-25 19:50:06;21,8;49,5
54;2022-04-25 19:55:06;21,8;49,5
55;2022-04-25 20:00:06;21,7;49,4
56;2022-04-25 20:05:06;21,7;49,4
57;2022-04-25 20:10:06;21,7;49,4
58;2022-04-25 20:15:06;21,7;49,4
59;2022-04-25 20:20:06;21,7;49,4
60;2022-04-25 20:25:06;21,7;49,4
61;2022-04-25 20:30:06;21,7;49,4
62;2022-04-25 20:35:06;21,6;49,4
63;2022-04-25 20:40:06;21,6;49,4
64;2022-04-25 20:45:06;21,6;49,9
65;2022-04-25 20:50:06;21,6;49,4
66;2022-04-25 20:55:06;21,6;49,4
67;2022-04-25 21:00:06;21,6;49,4
68;2022-04-25 21:05:06;21,5;49,4
69;2022-04-25 21:10:06;21,5;49,4
70;2022-04-25 21:15:06;21,5;49,4
71;2022-04-25 21:20:06;21,5;49,4
72;2022-04-25 21:25:06;21,5;49,4
73;2022-04-25 21:30:06;21,5;49,4
74;2022-04-25 21:35:06;21,5;49,4
75;2022-04-25 21:40:06;21,5;49,4
76;2022-04-25 21:45:06;21,5;49,4
77;2022-04-25 21:50:06;21,5;49,4
78;2022-04-25 21:55:06;21,5;49,4
79;2022-04-25 22:00:06;21,5;49,4
80;2022-04-25 22:05:06;21,5;49,4
81;2022-04-25 22:10:06;21,4;49,4
82;2022-04-25 22:15:06;21,4;49,4
83;2022-04-25 22:20:06;21,4;49,4
84;2022-04-25 22:25:06;21,4;49,4
85;2022-04-25 22:30:06;21,4;49,4
86;2022-04-25 22:35:06;21,4;49,4
87;2022-04-25 22:40:06;21,4;49,4
88;2022-04-25 22:45:06;21,4;49,4
89;2022-04-25 22:50:06;21,3;49,4
90;2022-04-25 22:55:06;21,3;49,4
91;2022-04-25 23:00:06;21,3;49,4
92;2022-04-25 23:05:06;21,3;49,4
93;2022-04-25 23:10:06;21,3;49,4
94;2022-04-25 23:15:06;21,3;49,9
95;2022-04-25 23:20:06;21,3;49,4
96;2022-04-25 23:25:06;21,3;49,4
97;2022-04-25 23:30:06;21,2;49,4
98;2022-04-25 23:35:06;21,2;49,4
99;2022-04-25 23:40:06;21,2;49,4
100;2022-04-25 23:45:06;21,2;49,4
101;2022-04-25 23:50:06;21,2;49,4
102;2022-04-25 23:55:06;21,2;49,4
103;2022-04-26 00:00:06;21,2;49,4
104;2022-04-26 00:05:06;21,2;49,4
105;2022-04-26 00:10:06;21,2;49,4
106;2022-04-26 00:15:06;21,2;49,4
107;2022-04-26 00:20:06;21,2;49,4
108;2022-04-26 00:25:06;21,1;49,4
109;2022-04-26 00:30:06;21,1;49,4
110;2022-04-26 00:35:06;21,1;49,4
111;2022-04-26 00:40:06;21,1;49,4
112;2022-04-26 00:45:06;21,1;49,9
113;2022-04-26 00:50:06;21,1;49,9
114;2022-04-26 00:55:06;21,1;49,4
115;2022-04-26 01:00:06;21,1;49,4
