RC-4HC Temperature+Humidity Data Logger;;;;;
User Information;RC-4HC Data Logger;;;;
Number;V485;;;;
Interval    ;0:5:0 H:M:S;;;;
Delay Time;0,0 H;;;;
Data Sum;2886;;;;
Temperature Maximum;22,5°C;;;;
Temperature Minimum;11,8°C;;;;
Temperature Average;17,3°C;;;;
Temperature Alarm Upper Limit;60,0°C;;;;
Temperature Alarm Lower Limit;-30,0°C;;;;
Humidity Maximum;63,5%RH;;;;
Humidity Minimum;28%RH;;;;
Humidity Average;52,3%RH;;;;
Humidity Alarm Upper Limit;90%RH;;;;
Humidity Alarm Lower Limit;20%RH;;;;
Start Time;2022-05-09 17:01:49;;;;
End Time;2022-05-19 17:26:49;;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;;
Temperature Unit;°C;;;;
Number;Time;Temperature°C;Humidity%RH;;
1;2022-05-09 17:01:49;19,3;50,5;;
2;2022-05-09 17:06:49;19,4;49;;
3;2022-05-09 17:11:49;19,4;49,5;;
4;2022-05-09 17:16:49;19,25;49,7;;
5;2022-05-09 17:21:49;19,1;49,7;;
6;2022-05-09 17:26:49;19;49,95;;
7;2022-05-09 17:31:49;18,9;50,2;;
8;2022-05-09 17:36:49;18,8;50,4;;
9;2022-05-09 17:41:49;18,7;50,65;;
10;2022-05-09 17:46:49;18,7;50,65;;
11;2022-05-09 17:51:49;18,6;50,9;;
12;2022-05-09 17:56:49;18,5;51,1;;
13;2022-05-09 18:01:49;18,45;51,35;;
14;2022-05-09 18:06:49;18,35;51,6;;
15;2022-05-09 18:11:49;18,25;51,6;;
16;2022-05-09 18:16:49;18,15;51,85;;
17;2022-05-09 18:21:49;18,15;51,8;;
18;2022-05-09 18:26:49;18,05;52,3;;
19;2022-05-09 18:31:49;17,95;52,55;;
20;2022-05-09 18:36:49;17,9;52,55;;
21;2022-05-09 18:41:49;17,85;52,75;;
22;2022-05-09 18:46:49;17,8;52,75;;
23;2022-05-09 18:51:49;17,75;53,25;;
24;2022-05-09 18:56:49;17,65;53,25;;
25;2022-05-09 19:01:49;17,55;53,5;;
26;2022-05-09 19:06:49;17,55;53,75;;
27;2022-05-09 19:11:49;17,5;53,75;;
28;2022-05-09 19:16:49;17,45;53,95;;
29;2022-05-09 19:21:49;17,35;54,15;;
30;2022-05-09 19:26:49;17,35;54,15;;
31;2022-05-09 19:31:49;17,25;54,4;;
32;2022-05-09 19:36:49;17,25;54,65;;
33;2022-05-09 19:41:49;17,2;54,65;;
34;2022-05-09 19:46:49;17,15;54,65;;
35;2022-05-09 19:51:49;17,1;55,15;;
36;2022-05-09 19:56:49;17,1;55,15;;
37;2022-05-09 20:01:49;17,05;55,15;;
38;2022-05-09 20:06:49;17;55,35;;
39;2022-05-09 20:11:49;16,95;55,55;;
40;2022-05-09 20:16:49;16,9;55,55;;
41;2022-05-09 20:21:49;16,85;55,8;;
42;2022-05-09 20:26:49;16,85;56,05;;
43;2022-05-09 20:31:49;16,85;56,05;;
44;2022-05-09 20:36:49;16,75;56,05;;
45;2022-05-09 20:41:49;16,75;56,05;;
46;2022-05-09 20:46:49;16,75;56,3;;
47;2022-05-09 20:51:49;16,7;56,3;;
48;2022-05-09 20:56:49;16,65;56,55;;
49;2022-05-09 21:01:49;16,65;56,55;;
50;2022-05-09 21:06:49;16,6;56,55;;
51;2022-05-09 21:11:49;16,6;56,55;;
52;2022-05-09 21:16:49;16,55;56,5;;
53;2022-05-09 21:21:49;16,55;56,95;;
54;2022-05-09 21:26:49;16,5;56,95;;
55;2022-05-09 21:31:49;16,45;56,95;;
56;2022-05-09 21:36:49;16,4;57,2;;
57;2022-05-09 21:41:49;16,35;57,45;;
58;2022-05-09 21:46:49;16,3;57,45;;
59;2022-05-09 21:51:49;16,25;57,45;;
60;2022-05-09 21:56:49;16,2;57,45;;
61;2022-05-09 22:01:49;16,1;57,65;;
62;2022-05-09 22:06:49;16,1;57,85;;
63;2022-05-09 22:11:49;16,05;57,85;;
64;2022-05-09 22:16:49;16;58,1;;
65;2022-05-09 22:21:49;15,95;58,1;;
66;2022-05-09 22:26:49;15,9;58,1;;
67;2022-05-09 22:31:49;15,9;58,35;;
68;2022-05-09 22:36:49;15,85;58,3;;
69;2022-05-09 22:41:49;15,8;58,5;;
70;2022-05-09 22:46:49;15,75;58,5;;
71;2022-05-09 22:51:49;15,75;58,5;;
72;2022-05-09 22:56:49;15,65;58,5;;
73;2022-05-09 23:01:49;15,65;58,75;;
74;2022-05-09 23:06:49;15,65;59;;
75;2022-05-09 23:11:49;15,55;59;;
76;2022-05-09 23:16:49;15,55;59;;
77;2022-05-09 23:21:49;15,55;59;;
78;2022-05-09 23:26:49;15,5;59;;
79;2022-05-09 23:31:49;15,5;59;;
80;2022-05-09 23:36:49;15,4;59,2;;
81;2022-05-09 23:41:49;15,4;59,4;;
82;2022-05-09 23:46:49;15,35;59,4;;
83;2022-05-09 23:51:49;15,3;59,4;;
84;2022-05-09 23:56:49;15,3;59,4;;
85;2022-05-10 00:01:49;15,25;59,65;;
86;2022-05-10 00:06:49;15,25;59,65;;
87;2022-05-10 00:11:49;15,25;59,9;;
88;2022-05-10 00:16:49;15,15;59,9;;
89;2022-05-10 00:21:49;15,1;59,85;;
90;2022-05-10 00:26:49;15,1;59,85;;
91;2022-05-10 00:31:49;15,05;59,8;;
92;2022-05-10 00:36:49;15;59,8;;
93;2022-05-10 00:41:49;15;59,8;;
94;2022-05-10 00:46:49;15;59,8;;
95;2022-05-10 00:51:49;14,95;59,8;;
96;2022-05-10 00:56:49;14,95;59,8;;
97;2022-05-10 01:01:49;14,9;59,8;;
98;2022-05-10 01:06:49;14,85;59,8;;
99;2022-05-10 01:11:49;14,85;59,8;;
100;2022-05-10 01:16:49;14,85;59,8;;
101;2022-05-10 01:21:49;14,8;59,8;;
102;2022-05-10 01:26:49;14,8;60,05;;
103;2022-05-10 01:31:49;14,8;60,05;;
104;2022-05-10 01:36:49;14,8;60,05;;
105;2022-05-10 01:41:49;14,75;59,8;;
106;2022-05-10 01:46:49;14,7;60,05;;
107;2022-05-10 01:51:49;14,7;59,8;;
108;2022-05-10 01:56:49;14,6;59,8;;
109;2022-05-10 02:01:49;14,6;59,8;;
110;2022-05-10 02:06:49;14,6;59,8;;
111;2022-05-10 02:11:49;14,55;59,75;;
112;2022-05-10 02:16:49;14,55;59,75;;
113;2022-05-10 02:21:49;14,55;59,8;;
114;2022-05-10 02:26:49;14,5;59,7;;
115;2022-05-10 02:31:49;14,5;59,7;;
116;2022-05-10 02:36:49;14,45;59,5;;
117;2022-05-10 02:41:49;14,45;59,5;;
118;2022-05-10 02:46:49;14,4;59,7;;
119;2022-05-10 02:51:49;14,35;59,5;;
120;2022-05-10 02:56:49;14,35;59,5;;
121;2022-05-10 03:01:49;14,35;59,3;;
122;2022-05-10 03:06:49;14,35;59,5;;
123;2022-05-10 03:11:49;14,35;59,5;;
124;2022-05-10 03:16:49;14,3;59,3;;
125;2022-05-10 03:21:49;14,3;59,25;;
126;2022-05-10 03:26:49;14,3;59,25;;
127;2022-05-10 03:31:49;14,25;59,25;;
128;2022-05-10 03:36:49;14,25;59,2;;
129;2022-05-10 03:41:49;14,25;59,2;;
130;2022-05-10 03:46:49;14,25;59,45;;
131;2022-05-10 03:51:49;14,2;59,45;;
132;2022-05-10 03:56:49;14,2;59,45;;
133;2022-05-10 04:01:49;14,15;59,45;;
134;2022-05-10 04:06:49;14,15;59,45;;
135;2022-05-10 04:11:49;14,15;59,45;;
136;2022-05-10 04:16:49;14,15;59,45;;
137;2022-05-10 04:21:49;14,1;59,45;;
138;2022-05-10 04:26:49;14,1;59,45;;
139;2022-05-10 04:31:49;14,1;59,45;;
140;2022-05-10 04:36:49;14,1;59,45;;
141;2022-05-10 04:41:49;14,1;59,45;;
142;2022-05-10 04:46:49;14,1;59,45;;
143;2022-05-10 04:51:49;14,1;59,45;;
144;2022-05-10 04:56:49;14,1;59,2;;
145;2022-05-10 05:01:49;14,1;59,2;;
146;2022-05-10 05:06:49;14,1;59,2;;
147;2022-05-10 05:11:49;14,1;59,2;;
148;2022-05-10 05:16:49;14,15;59,2;;
149;2022-05-10 05:21:49;14,1;59,2;;
150;2022-05-10 05:26:49;14,1;59,2;;
151;2022-05-10 05:31:49;14,1;59,2;;
152;2022-05-10 05:36:49;14,1;59,2;;
153;2022-05-10 05:41:49;14,1;59,2;;
154;2022-05-10 05:46:49;14,05;59,2;;
155;2022-05-10 05:51:49;14,05;59,2;;
156;2022-05-10 05:56:49;14,05;59,2;;
157;2022-05-10 06:01:49;14,05;59,45;;
158;2022-05-10 06:06:49;14,05;59,45;;
159;2022-05-10 06:11:49;14,05;59,45;;
160;2022-05-10 06:16:49;14,05;59,45;;
161;2022-05-10 06:21:49;14,05;59,45;;
162;2022-05-10 06:26:49;14,05;59,45;;
163;2022-05-10 06:31:49;14;59,45;;
164;2022-05-10 06:36:49;13,95;59,45;;
165;2022-05-10 06:41:49;13,95;59,45;;
166;2022-05-10 06:46:49;13,9;59,45;;
167;2022-05-10 06:51:49;13,9;59,4;;
168;2022-05-10 06:56:49;13,9;59,65;;
169;2022-05-10 07:01:49;13,9;59,65;;
170;2022-05-10 07:06:49;13,85;59,65;;
171;2022-05-10 07:11:49;13,8;59,6;;
172;2022-05-10 07:16:49;13,8;59,6;;
173;2022-05-10 07:21:49;13,8;59,6;;
174;2022-05-10 07:26:49;13,75;59,6;;
175;2022-05-10 07:31:49;13,75;59,6;;
176;2022-05-10 07:36:49;13,75;59,6;;
177;2022-05-10 07:41:49;13,75;59,85;;
178;2022-05-10 07:46:49;13,65;59,85;;
179;2022-05-10 07:51:49;13,6;59,85;;
180;2022-05-10 07:56:49;13,6;59,85;;
181;2022-05-10 08:01:49;13,65;59,85;;
182;2022-05-10 08:06:49;13,65;59,85;;
183;2022-05-10 08:11:49;13,65;60,1;;
184;2022-05-10 08:16:49;13,7;60,1;;
185;2022-05-10 08:21:49;13,7;59,85;;
186;2022-05-10 08:26:49;13,8;59,85;;
187;2022-05-10 08:31:49;13,8;60,1;;
188;2022-05-10 08:36:49;13,85;59,85;;
189;2022-05-10 08:41:49;13,9;59,9;;
190;2022-05-10 08:46:49;13,95;59,9;;
191;2022-05-10 08:51:49;14,05;59,65;;
192;2022-05-10 08:56:49;14,15;59,7;;
193;2022-05-10 09:01:49;14,3;59,7;;
194;2022-05-10 09:06:49;14,35;59,75;;
195;2022-05-10 09:11:49;14,4;59,5;;
196;2022-05-10 09:16:49;14,5;59,75;;
197;2022-05-10 09:21:49;14,6;59,75;;
198;2022-05-10 09:26:49;14,75;59,55;;
199;2022-05-10 09:31:49;14,85;59,6;;
200;2022-05-10 09:36:49;15;59,35;;
201;2022-05-10 09:41:49;15,05;59,4;;
202;2022-05-10 09:46:49;15,15;58,95;;
203;2022-05-10 09:51:49;15,3;58,95;;
204;2022-05-10 09:56:49;15,45;58,7;;
205;2022-05-10 10:01:49;15,55;59,2;;
206;2022-05-10 10:06:49;15,65;59,25;;
207;2022-05-10 10:11:49;15,75;59,5;;
