RC-4HC Temperature+Humidity Data Logger;;;;
User Information;RC-4HC Data Logger V550;;;
Number;719AH10086;;;
Interval    ;0:5:0 H:M:S;;;
Delay Time;0,0 H;;;
Data Sum;2876;;;
Temperature Maximum;22,3°C;;;
Temperature Minimum;11,8°C;;;
Temperature Average;17,3°C;;;
Temperature Alarm Upper Limit;60,0°C;;;
Temperature Alarm Lower Limit;-30,0°C;;;
Humidity Maximum;66,4%RH;;;
Humidity Minimum;31,8%RH;;;
Humidity Average;54,9%RH;;;
Humidity Alarm Upper Limit;90%RH;;;
Humidity Alarm Lower Limit;20%RH;;;
Start Time;9/05/2022 11:22;;;
End Time;19/05/2022 11:01;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;
Temperature Unit;°C;;;
Number;Time;Temperature°C;Humidity%RH;l
1;2022-05-09 11:22:53;16,5;53,3;
2;2022-05-09 11:27:53;16,9;54,4;
3;2022-05-09 11:32:53;17;54,9;
4;2022-05-09 11:37:53;17,5;55,4;
5;2022-05-09 11:42:53;18;54;
6;2022-05-09 11:47:53;18,5;53,6;
7;2022-05-09 11:52:53;18,7;53,1;
8;2022-05-09 11:57:53;18,5;53,1;
9;2022-05-09 12:02:53;19,5;52,2;
10;2022-05-09 12:07:53;20,2;50,8;
11;2022-05-09 12:12:53;20,6;51,4;
12;2022-05-09 12:17:53;20,4;50,4;
13;2022-05-09 12:22:53;19;50,7;
14;2022-05-09 12:27:53;18,5;50,6;
15;2022-05-09 12:32:53;18,2;50,6;
16;2022-05-09 12:37:53;18;51,1;
17;2022-05-09 12:42:53;17,9;51;
18;2022-05-09 12:47:53;17,7;51,5;
19;2022-05-09 12:52:53;17,6;51,5;
20;2022-05-09 12:57:53;17,5;51,5;
21;2022-05-09 13:02:53;17,4;51,5;
22;2022-05-09 13:07:53;17,3;51,5;
23;2022-05-09 13:12:53;17,3;51,5;
24;2022-05-09 13:17:53;17,3;52;
25;2022-05-09 13:22:53;17,2;52;
26;2022-05-09 13:27:53;17,2;51,9;
27;2022-05-09 13:32:53;17,2;51,9;
28;2022-05-09 13:37:53;17,2;51,9;
29;2022-05-09 13:42:53;17,1;52,4;
30;2022-05-09 13:47:53;17,1;52,4;
31;2022-05-09 13:52:53;17,1;52,4;
32;2022-05-09 13:57:53;17,1;52,4;
33;2022-05-09 14:02:53;17,1;52,4;
34;2022-05-09 14:07:53;17,1;52,4;
35;2022-05-09 14:12:53;17,1;52,4;
36;2022-05-09 14:17:53;17,2;52,4;
37;2022-05-09 14:22:53;17,2;52,4;
38;2022-05-09 14:27:53;17,2;52,4;
39;2022-05-09 14:32:53;17,2;52,4;
40;2022-05-09 14:37:53;17,3;52,9;
41;2022-05-09 14:42:53;18;56;
42;2022-05-09 14:47:53;18,9;52,2;
43;2022-05-09 14:52:53;18,7;51,7;
44;2022-05-09 14:57:53;18,7;51,7;
45;2022-05-09 15:02:53;18,7;51,7;
46;2022-05-09 15:07:53;18,8;51,2;
47;2022-05-09 15:12:53;18,8;51,2;
48;2022-05-09 15:17:53;18,9;50,7;
49;2022-05-09 15:22:53;19;50,7;
50;2022-05-09 15:27:53;19;50,7;
51;2022-05-09 15:32:53;19,1;50,7;
52;2022-05-09 15:37:53;19,1;50,7;
53;2022-05-09 15:42:53;19,2;50,2;
54;2022-05-09 15:47:53;19,2;50,7;
55;2022-05-09 15:52:53;19,2;50,7;
56;2022-05-09 15:57:53;19,2;50,7;
57;2022-05-09 16:02:53;19,2;50,7;
58;2022-05-09 16:07:53;19,2;50,7;
59;2022-05-09 16:12:53;19,2;50,7;
60;2022-05-09 16:17:53;19,2;50,7;
61;2022-05-09 16:22:53;19,2;50,7;
62;2022-05-09 16:27:53;19,3;50,7;
63;2022-05-09 16:32:53;19,3;50,7;
64;2022-05-09 16:37:53;19,3;50,7;
65;2022-05-09 16:42:53;19,3;51,2;
66;2022-05-09 16:47:53;19,3;50,7;
67;2022-05-09 16:52:53;19,3;51,2;
68;2022-05-09 16:57:53;19,2;51,2;
69;2022-05-09 17:02:53;19,2;51,2;
70;2022-05-09 17:07:53;19,2;51,7;
71;2022-05-09 17:12:53;19,2;51,7;
72;2022-05-09 17:17:53;19,2;51,7;
73;2022-05-09 17:22:53;19,1;51,7;
74;2022-05-09 17:27:53;19,1;51,7;
75;2022-05-09 17:32:53;19;51,7;
76;2022-05-09 17:37:53;19;51,7;
77;2022-05-09 17:42:53;18,9;52,2;
78;2022-05-09 17:47:53;18,8;52,2;
79;2022-05-09 17:52:53;18,8;52,2;
80;2022-05-09 17:57:53;18,7;52,6;
81;2022-05-09 18:02:53;18,6;52,6;
82;2022-05-09 18:07:53;18,6;52,6;
83;2022-05-09 18:12:53;18,6;52,6;
84;2022-05-09 18:17:53;18,5;52,6;
85;2022-05-09 18:22:53;18,4;53,1;
86;2022-05-09 18:27:53;18,3;53,1;
87;2022-05-09 18:32:53;18,3;53,6;
88;2022-05-09 18:37:53;18,2;53,6;
89;2022-05-09 18:42:53;18,1;53,6;
90;2022-05-09 18:47:53;18,1;53,6;
91;2022-05-09 18:52:53;18;54;
92;2022-05-09 18:57:53;18;54,5;
93;2022-05-09 19:02:53;17,9;54,5;
94;2022-05-09 19:07:53;17,9;55;
95;2022-05-09 19:12:53;17,8;55;
96;2022-05-09 19:17:53;17,7;55,5;
97;2022-05-09 19:22:53;17,7;55,5;
98;2022-05-09 19:27:53;17,6;55,4;
99;2022-05-09 19:32:53;17,5;55,9;
100;2022-05-09 19:37:53;17,5;55,9;
101;2022-05-09 19:42:53;17,4;55,9;
102;2022-05-09 19:47:53;17,4;55,9;
103;2022-05-09 19:52:53;17,3;56,4;
104;2022-05-09 19:57:53;17,3;56,4;
105;2022-05-09 20:02:53;17,3;56,4;
106;2022-05-09 20:07:53;17,3;56,4;
107;2022-05-09 20:12:53;17,2;56,8;
108;2022-05-09 20:17:53;17,2;56,8;
109;2022-05-09 20:22:53;17,1;57,3;
110;2022-05-09 20:27:53;17,1;57,3;
111;2022-05-09 20:32:53;17,1;57,3;
112;2022-05-09 20:37:53;17;57,3;
113;2022-05-09 20:42:53;17;57,3;
114;2022-05-09 20:47:53;17;57,3;
115;2022-05-09 20:52:53;16,9;57,8;
116;2022-05-09 20:57:53;16,9;57,8;
117;2022-05-09 21:02:53;16,9;57,8;
118;2022-05-09 21:07:53;16,8;57,8;
119;2022-05-09 21:12:53;16,8;58,2;
120;2022-05-09 21:17:53;16,8;58,2;
121;2022-05-09 21:22:53;16,8;58,2;
122;2022-05-09 21:27:53;16,7;58,2;
123;2022-05-09 21:32:53;16,7;58,2;
124;2022-05-09 21:37:53;16,6;58,2;
125;2022-05-09 21:42:53;16,6;58,2;
126;2022-05-09 21:47:53;16,6;58,7;
127;2022-05-09 21:52:53;16,6;58,7;
128;2022-05-09 21:57:53;16,5;58,7;
129;2022-05-09 22:02:53;16,5;58,7;
130;2022-05-09 22:07:53;16,4;59,1;
131;2022-05-09 22:12:53;16,4;59,1;
132;2022-05-09 22:17:53;16,3;59,1;
133;2022-05-09 22:22:53;16,3;59,1;
134;2022-05-09 22:27:53;16,2;59,1;
135;2022-05-09 22:32:53;16,2;59,1;
136;2022-05-09 22:37:53;16,1;59,1;
137;2022-05-09 22:42:53;16,1;59,6;
138;2022-05-09 22:47:53;16;59,6;
139;2022-05-09 22:52:53;16;59,5;
140;2022-05-09 22:57:53;16;59,5;
141;2022-05-09 23:02:53;16;60;
142;2022-05-09 23:07:53;15,9;60;
143;2022-05-09 23:12:53;15,9;60;
144;2022-05-09 23:17:53;15,8;60;
145;2022-05-09 23:22:53;15,8;60,4;
146;2022-05-09 23:27:53;15,8;60,4;
147;2022-05-09 23:32:53;15,7;60,4;
148;2022-05-09 23:37:53;15,7;60,4;
149;2022-05-09 23:42:53;15,7;60,4;
150;2022-05-09 23:47:53;15,6;60,9;
151;2022-05-09 23:52:53;15,6;60,9;
152;2022-05-09 23:57:53;15,6;60,9;
153;2022-05-10 00:02:53;15,5;60,9;
154;2022-05-10 00:07:53;15,5;60,9;
155;2022-05-10 00:12:53;15,4;60,9;
156;2022-05-10 00:17:53;15,4;60,9;
157;2022-05-10 00:22:53;15,4;60,9;
158;2022-05-10 00:27:53;15,3;60,9;
159;2022-05-10 00:32:53;15,3;60,8;
160;2022-05-10 00:37:53;15,3;60,8;
161;2022-05-10 00:42:53;15,3;61,3;
162;2022-05-10 00:47:53;15,3;61,3;
163;2022-05-10 00:52:53;15,2;61,3;
164;2022-05-10 00:57:53;15,2;61,3;
165;2022-05-10 01:02:53;15,2;61,3;
166;2022-05-10 01:07:53;15,1;61,3;
167;2022-05-10 01:12:53;15,1;61,3;
168;2022-05-10 01:17:53;15,1;61,3;
169;2022-05-10 01:22:53;15,1;61,3;
170;2022-05-10 01:27:53;15;61,3;
171;2022-05-10 01:32:53;15;61,3;
172;2022-05-10 01:37:53;15;61,3;
173;2022-05-10 01:42:53;15;61,3;
174;2022-05-10 01:47:53;14,9;61,2;
175;2022-05-10 01:52:53;14,9;61,2;
176;2022-05-10 01:57:53;14,9;61,2;
177;2022-05-10 02:02:53;14,9;61,2;
178;2022-05-10 02:07:53;14,8;61,2;
179;2022-05-10 02:12:53;14,8;61,2;
180;2022-05-10 02:17:53;14,8;61,2;
181;2022-05-10 02:22:53;14,7;61,2;
182;2022-05-10 02:27:53;14,7;61,2;
183;2022-05-10 02:32:53;14,7;60,7;
184;2022-05-10 02:37:53;14,7;61,2;
185;2022-05-10 02:42:53;14,6;61,2;
186;2022-05-10 02:47:53;14,6;61,2;
187;2022-05-10 02:52:53;14,6;61,2;
188;2022-05-10 02:57:53;14,6;61,2;
189;2022-05-10 03:02:53;14,6;61,2;
190;2022-05-10 03:07:53;14,6;60,7;
191;2022-05-10 03:12:53;14,6;60,7;
192;2022-05-10 03:17:53;14,6;60,7;
193;2022-05-10 03:22:53;14,5;60,7;
194;2022-05-10 03:27:53;14,5;60,7;
195;2022-05-10 03:32:53;14,5;60,7;
196;2022-05-10 03:37:53;14,5;60,7;
197;2022-05-10 03:42:53;14,5;60,7;
198;2022-05-10 03:47:53;14,5;60,7;
199;2022-05-10 03:52:53;14,5;60,7;
200;2022-05-10 03:57:53;14,5;60,7;
201;2022-05-10 04:02:53;14,5;60,7;
202;2022-05-10 04:07:53;14,4;60,7;
203;2022-05-10 04:12:53;14,4;60,7;
204;2022-05-10 04:17:53;14,4;60,7;
205;2022-05-10 04:22:53;14,4;60,7;
206;2022-05-10 04:27:53;14,3;60,7;
207;2022-05-10 04:32:53;14,3;60,7;
208;2022-05-10 04:37:53;14,3;60,7;
209;2022-05-10 04:42:53;14,3;60,7;
210;2022-05-10 04:47:53;14,3;60,7;
211;2022-05-10 04:52:53;14,3;60,7;
212;2022-05-10 04:57:53;14,3;60,7;
213;2022-05-10 05:02:53;14,3;60,7;
214;2022-05-10 05:07:53;14,3;60,7;
215;2022-05-10 05:12:53;14,2;60,7;
216;2022-05-10 05:17:53;14,2;60,7;
217;2022-05-10 05:22:53;14,2;60,7;
218;2022-05-10 05:27:53;14,2;60,7;
219;2022-05-10 05:32:53;14,2;60,7;
220;2022-05-10 05:37:53;14,2;60,7;
221;2022-05-10 05:42:53;14,2;60,7;
222;2022-05-10 05:47:53;14,2;60,7;
223;2022-05-10 05:52:53;14,2;60,7;
224;2022-05-10 05:57:53;14,2;60,7;
225;2022-05-10 06:02:53;14,2;60,7;
226;2022-05-10 06:07:53;14,2;60,7;
227;2022-05-10 06:12:53;14,2;60,7;
228;2022-05-10 06:17:53;14,2;60,7;
229;2022-05-10 06:22:53;14,2;60,7;
230;2022-05-10 06:27:53;14,1;60,7;
231;2022-05-10 06:32:53;14,1;60,7;
232;2022-05-10 06:37:53;14,1;61,1;
233;2022-05-10 06:42:53;14,1;61,1;
234;2022-05-10 06:47:53;14,1;61,1;
235;2022-05-10 06:52:53;14,1;61,1;
236;2022-05-10 06:57:53;14;61,1;
237;2022-05-10 07:02:53;14;61,1;
238;2022-05-10 07:07:53;14;61,1;
239;2022-05-10 07:12:53;14;61,1;
240;2022-05-10 07:17:53;14;61,1;
241;2022-05-10 07:22:53;14;61,1;
242;2022-05-10 07:27:53;14;61,1;
243;2022-05-10 07:32:53;13,9;61,5;
244;2022-05-10 07:37:53;13,9;61,5;
245;2022-05-10 07:42:53;13,9;61,5;
246;2022-05-10 07:47:53;13,9;61,5;
247;2022-05-10 07:52:53;13,9;61,5;
