Informe de datos;;;;;
Archivo creado el:2022-05-28 18:52:48;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;21-05-2022 11:33
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V772;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Alarma;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2104;;MKT;19,8;
Primera lectura;21-05-2022 11:33;;Última lectura;28-05-2022 18:48;
Máximo(Temperatura);26,1°C;;Mínimo(Temperatura);17,1°C;
Promedio(Temperatura);19,7°C;;Tiempo de grabación;7D 7H 15M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);90,50%;;Mínimo(Humedad);56,90%;
Promedio(Humedad);72,40%;;;;
Primera alarma(Humedad);27-05-2022 11:08;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:33;24,8;56,9;;
2;2022-05-21 11:38;23,1;60,1;;
3;2022-05-21 11:43;22,2;62,4;;
4;2022-05-21 11:48;22,8;61,5;;
5;2022-05-21 11:53;21,6;63,2;;
6;2022-05-21 11:58;21;64,5;;
7;2022-05-21 12:03;20,8;65,8;;
8;2022-05-21 12:08;20,5;66,3;;
9;2022-05-21 12:13;20,4;66,7;;
10;2022-05-21 12:18;20,4;66,7;;
11;2022-05-21 12:23;20,4;71,3;;
12;2022-05-21 12:28;20,4;70,8;;
13;2022-05-21 12:33;20,4;70,8;;
14;2022-05-21 12:38;20,4;71,3;;
15;2022-05-21 12:43;20,3;70,8;;
16;2022-05-21 12:48;20,3;70,8;;
17;2022-05-21 12:53;20,3;70,8;;
18;2022-05-21 12:58;20,3;70,8;;
19;2022-05-21 13:03;20,3;70,8;;
20;2022-05-21 13:08;20,3;70,4;;
21;2022-05-21 13:13;20,4;70,4;;
22;2022-05-21 13:18;20,4;70,4;;
23;2022-05-21 13:23;20,4;70,4;;
24;2022-05-21 13:28;20,5;70,4;;
25;2022-05-21 13:33;20,5;70,8;;
26;2022-05-21 13:38;20,6;70,8;;
27;2022-05-21 13:43;20,7;70,3;;
28;2022-05-21 13:48;20,7;69,9;;
29;2022-05-21 13:53;20,8;71,2;;
30;2022-05-21 13:58;20,8;70,8;;
31;2022-05-21 14:03;20,8;70,8;;
32;2022-05-21 14:08;20,9;71,2;;
33;2022-05-21 14:13;20,9;70,7;;
34;2022-05-21 14:18;20,9;72,9;;
35;2022-05-21 14:23;21,1;73,8;;
36;2022-05-21 14:28;21;74,6;;
37;2022-05-21 14:33;21;75;;
38;2022-05-21 14:38;20,9;74,6;;
39;2022-05-21 14:43;20,9;73,7;;
40;2022-05-21 14:48;20,9;73,7;;
41;2022-05-21 14:53;20,9;72,4;;
42;2022-05-21 14:58;21;71,9;;
43;2022-05-21 15:03;21;71,8;;
44;2022-05-21 15:08;21;72,2;;
45;2022-05-21 15:13;21;72,6;;
46;2022-05-21 15:18;21;73,5;;
47;2022-05-21 15:23;20,9;73,4;;
48;2022-05-21 15:28;20,9;73,5;;
49;2022-05-21 15:33;20,9;73,5;;
50;2022-05-21 15:38;20,9;73,9;;
51;2022-05-21 15:43;20,8;73,9;;
