Informe de datos;;;;;
Archivo creado el:2022-05-28 19:06:41;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:33:14
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V787;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;13;;MKT;23,0;
Primera lectura;2022-05-21 11:33:14;;Última lectura;2022-05-21 12:33:14;
Máximo(Temperatura);25,7°C;;Mínimo(Temperatura);20,8°C;
Promedio(Temperatura);22,9°C;;Tiempo de grabación;0D 1H 0M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);70,0%;;Mínimo(Humedad);59,3%;
Promedio(Humedad);64,3%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No.;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:33:10;24,3;59,1;;
2;2022-05-21 11:38:10;23,1;62,1;;
3;2022-05-21 11:43:10;22,3;64,5;;
4;2022-05-21 11:48:10;22,0;64,9;;
5;2022-05-21 11:53:10;21,4;65,8;;
6;2022-05-21 11:58:10;21,1;66,7;;
7;2022-05-21 12:03:10;21,8;67,9;;
8;2022-05-21 12:08:10;21,9;67,5;;
9;2022-05-21 12:13:10;21,9;65,7;;
10;2022-05-21 12:18:10;21,3;66,6;;
11;2022-05-21 12:23:10;20,9;67,0;;
12;2022-05-21 12:28:10;20,7;67,5;;
13;2022-05-21 12:33:10;21,0;70,0;;
14;2022-05-21 12:38:10;22,2;71,0;;
15;2022-05-21 12:43:10;22,5;67,8;;
16;2022-05-21 12:48:10;22,2;67,2;;
17;2022-05-21 12:53:10;22,0;67,3;;
18;2022-05-21 12:58:10;22,2;67,2;;
19;2022-05-21 13:03:10;22,4;68,7;;
20;2022-05-21 13:08:10;22,3;66,5;;
21;2022-05-21 13:13:10;22,2;66,2;;
22;2022-05-21 13:18:10;22,8;70,6;;
23;2022-05-21 13:23:10;22,9;66,3;;
24;2022-05-21 13:28:10;22,7;66,6;;
25;2022-05-21 13:33:10;22,6;66,7;;
26;2022-05-21 13:38:10;22,6;66,5;;
27;2022-05-21 13:43:10;22,6;66,4;;
28;2022-05-21 13:48:10;22,7;66,1;;
29;2022-05-21 13:53:10;22,6;66,5;;
30;2022-05-21 13:58:10;22,5;66,8;;
31;2022-05-21 14:03:10;22,5;67,1;;
32;2022-05-21 14:08:10;22,5;67,3;;
33;2022-05-21 14:13:10;22,5;67,4;;
34;2022-05-21 14:18:10;22,4;67,4;;
35;2022-05-21 14:23:10;22,4;68,2;;
36;2022-05-21 14:28:10;22,4;68,5;;
37;2022-05-21 14:33:10;22,3;67,8;;
38;2022-05-21 14:38:10;22,2;68,0;;
39;2022-05-21 14:43:10;22,2;67,8;;
40;2022-05-21 14:48:10;22,1;67,5;;
41;2022-05-21 14:53:10;22,1;67,7;;
42;2022-05-21 14:58:10;22,1;67,8;;
43;2022-05-21 15:03:10;22,0;67,8;;
44;2022-05-21 15:08:10;22,0;67,5;;
45;2022-05-21 15:13:10;22,0;67,5;;
46;2022-05-21 15:18:10;22,0;67,3;;
