Informe de datos;;;;;
Archivo creado el:2022-05-28 17:45:00;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:10:54
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V749;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2077;;MKT;19,8;
Primera lectura;2022-05-21 11:10:54;;Última lectura;2022-05-28 16:10:54;
Máximo(Temperatura);22,9°C;;Mínimo(Temperatura);18,5°C;
Promedio(Temperatura);19,8°C;;Tiempo de grabación;7D 5H 0M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);80,3%;;Mínimo(Humedad);63,8%;
Promedio(Humedad);73,5%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:10:54;22,9;65,3;;
2;2022-05-21 11:15:54;22,3;63,8;;
3;2022-05-21 11:20:54;21,5;66;;
4;2022-05-21 11:25:54;20,9;67,7;;
5;2022-05-21 11:30:54;20,6;68,6;;
6;2022-05-21 11:35:54;20,5;69;;
7;2022-05-21 11:40:54;20,4;69,5;;
8;2022-05-21 11:45:54;20,3;69,9;;
9;2022-05-21 11:50:54;20,3;70,3;;
10;2022-05-21 11:55:54;20,3;70,3;;
11;2022-05-21 12:00:54;20,3;70,8;;
12;2022-05-21 12:05:54;20,2;70,8;;
13;2022-05-21 12:10:54;20,2;71,2;;
14;2022-05-21 12:15:54;20,2;71,2;;
15;2022-05-21 12:20:54;20,2;71,2;;
16;2022-05-21 12:25:54;20,1;71,2;;
17;2022-05-21 12:30:54;20,1;71,2;;
18;2022-05-21 12:35:54;20,1;71,2;;
19;2022-05-21 12:40:54;20,1;71,6;;
20;2022-05-21 12:45:54;20,1;71,6;;
21;2022-05-21 12:50:54;20,1;72,1;;
22;2022-05-21 12:55:54;20,1;72,1;;
23;2022-05-21 13:00:54;20,1;72,5;;
24;2022-05-21 13:05:54;20,1;72,5;;
25;2022-05-21 13:10:54;20,1;72,9;;
26;2022-05-21 13:15:54;20,1;72,9;;
27;2022-05-21 13:20:54;20,2;72,9;;
28;2022-05-21 13:25:54;20,3;73;;
29;2022-05-21 13:30:54;20,3;73;;
30;2022-05-21 13:35:54;20,3;73,4;;
31;2022-05-21 13:40:54;20,3;73,4;;
32;2022-05-21 13:45:54;20,3;73,4;;
33;2022-05-21 13:50:54;20,3;73,4;;
34;2022-05-21 13:55:54;20,3;73,4;;
35;2022-05-21 14:00:54;20,3;73,8;;
36;2022-05-21 14:05:54;20,3;73,8;;
37;2022-05-21 14:10:54;20,3;73,8;;
38;2022-05-21 14:15:54;20,3;73,8;;
39;2022-05-21 14:20:54;20,3;74,3;;
40;2022-05-21 14:25:54;20,3;74,3;;
41;2022-05-21 14:30:54;20,3;74,3;;
42;2022-05-21 14:35:54;20,3;74,7;;
43;2022-05-21 14:40:54;20,3;74,7;;
44;2022-05-21 14:45:54;20,3;74,7;;
45;2022-05-21 14:50:54;20,3;74,7;;
46;2022-05-21 14:55:54;20,3;74,3;;
