RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;V411;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3841;;
Temperature Maximum;27°C;;
Temperature Minimum;11,7°C;;
Temperature Average;16,6°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;73,9%RH;;
Humidity Minimum;50,5%RH;;
Humidity Average;62,5%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;15/5/2022 14:26;;
End Time;28/5/2022 22:26;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-15 14:26:47;20,9;59,3
2;2022-05-15 14:31:47;20,9;59,3
3;2022-05-15 14:36:47;20,8;59,3
4;2022-05-15 14:41:47;20,8;59,3
5;2022-05-15 14:46:47;20,7;59,3
6;2022-05-15 14:51:47;20,6;59,3
7;2022-05-15 14:56:47;20,5;59,2
8;2022-05-15 15:01:47;20,4;59,2
9;2022-05-15 15:06:47;20,3;59,2
10;2022-05-15 15:11:47;20,3;59,7
11;2022-05-15 15:16:47;20,2;59,7
12;2022-05-15 15:21:47;20,2;59,7
13;2022-05-15 15:26:47;20,1;59,7
14;2022-05-15 15:31:47;20;59,7
15;2022-05-15 15:36:47;20;59,6
16;2022-05-15 15:41:47;19,9;59,6
17;2022-05-15 15:46:47;19,9;59,6
18;2022-05-15 15:51:47;19,9;59,6
19;2022-05-15 15:56:47;19,9;59,6
20;2022-05-15 16:01:47;19,9;59,6
21;2022-05-15 16:06:47;19,9;59,6
22;2022-05-15 16:11:47;19,9;59,6
23;2022-05-15 16:16:47;19,8;59,6
24;2022-05-15 16:21:47;19,8;59,6
25;2022-05-15 16:26:47;19,8;59,6
26;2022-05-15 16:31:47;19,8;59,6
27;2022-05-15 16:36:47;19,8;59,6
28;2022-05-15 16:41:47;19,8;59,6
29;2022-05-15 16:46:47;19,8;59,6
30;2022-05-15 16:51:47;19,8;59,6
31;2022-05-15 16:56:47;19,8;59,6
32;2022-05-15 17:01:47;19,8;59,6
33;2022-05-15 17:06:47;19,8;59,6
34;2022-05-15 17:11:47;19,8;59,6
35;2022-05-15 17:16:47;19,8;59,6
36;2022-05-15 17:21:47;19,8;59,6
37;2022-05-15 17:26:47;19,8;59,6
38;2022-05-15 17:31:47;19,8;59,1
39;2022-05-15 17:36:47;19,7;59,1
40;2022-05-15 17:41:47;19,7;59,1
