RC-4HC Temperature+Humidity Data Logger;;;
User Information;00V299;;
Number;V361;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3619;;
Temperature Maximum;24,1°C;;
Temperature Minimum;12°C;;
Temperature Average;16,5°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;67,4%RH;;
Humidity Minimum;46,5%RH;;
Humidity Average;58,8%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16/5/2022 09:51;;
End Time;28/5/2022 23:21;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-16 09:51:40;18,7;48,6
2;2022-05-16 09:56:40;17,9;46,5
3;2022-05-16 10:01:40;17,5;47,5
4;2022-05-16 10:06:40;17,5;48,5
5;2022-05-16 10:11:40;17,5;48,5
6;2022-05-16 10:16:40;17,5;48,5
7;2022-05-16 10:21:40;17,5;48,5
8;2022-05-16 10:26:40;17,5;49
9;2022-05-16 10:31:40;17,4;49
10;2022-05-16 10:36:40;17,4;49
11;2022-05-16 10:41:40;17,4;49
12;2022-05-16 10:46:40;17,4;49
13;2022-05-16 10:51:40;17,4;49,5
14;2022-05-16 10:56:40;17,4;49,5
15;2022-05-16 11:01:40;17,3;49,5
16;2022-05-16 11:06:40;17,3;49,5
17;2022-05-16 11:11:40;17,3;49,5
18;2022-05-16 11:16:40;17,2;49,5
19;2022-05-16 11:21:40;17,2;49,5
20;2022-05-16 11:26:40;17,1;49,4
21;2022-05-16 11:31:40;17,1;49,4
22;2022-05-16 11:36:40;17,1;49,4
23;2022-05-16 11:41:40;17;49,4
24;2022-05-16 11:46:40;17;49,9
25;2022-05-16 11:51:40;17;49,9
26;2022-05-16 11:56:40;17;50,4
27;2022-05-16 12:01:40;17;50,4
28;2022-05-16 12:06:40;17;50,4
29;2022-05-16 12:11:40;17,1;50,4
30;2022-05-16 12:16:40;17,1;50,4
31;2022-05-16 12:21:40;17,1;50,4
32;2022-05-16 12:26:40;17,1;50,9
33;2022-05-16 12:31:40;17,1;50,9
34;2022-05-16 12:36:40;17,1;50,9
35;2022-05-16 12:41:40;17,1;50,9
36;2022-05-16 12:46:40;17,1;50,9
37;2022-05-16 12:51:40;17,1;51
38;2022-05-16 12:56:40;17,1;51
39;2022-05-16 13:01:40;17,1;51
40;2022-05-16 13:06:40;17,1;51
41;2022-05-16 13:11:40;17,1;51
42;2022-05-16 13:16:40;17,1;51
43;2022-05-16 13:21:40;17,1;51
44;2022-05-16 13:26:40;17,1;51
45;2022-05-16 13:31:40;17,1;51
46;2022-05-16 13:36:40;17,1;50,9
47;2022-05-16 13:41:40;17,1;50,9
48;2022-05-16 13:46:40;17,1;50,9
49;2022-05-16 13:51:40;17,1;50,9
50;2022-05-16 13:56:40;17,1;50,9
51;2022-05-16 14:01:40;17;50,9
52;2022-05-16 14:06:40;17;50,9
53;2022-05-16 14:11:40;17;50,9
54;2022-05-16 14:16:40;17;51,4
55;2022-05-16 14:21:40;17,1;51,4
56;2022-05-16 14:26:40;17,1;51,4
57;2022-05-16 14:31:40;17,1;51,5
58;2022-05-16 14:36:40;17,2;52
59;2022-05-16 14:41:40;17,2;52
60;2022-05-16 14:46:40;17,3;52
61;2022-05-16 14:51:40;17,3;52
62;2022-05-16 14:56:40;17,4;52
63;2022-05-16 15:01:40;17,4;52
64;2022-05-16 15:06:40;17,4;52
65;2022-05-16 15:11:40;17,5;51,5
66;2022-05-16 15:16:40;17,5;52
67;2022-05-16 15:21:40;17,5;51,5
68;2022-05-16 15:26:40;17,5;51,5
69;2022-05-16 15:31:40;17,5;51,5
70;2022-05-16 15:36:40;17,5;51,5
71;2022-05-16 15:41:40;17,5;51,5
72;2022-05-16 15:46:40;17,4;51,5
73;2022-05-16 15:51:40;17,4;51,5
74;2022-05-16 15:56:40;17,7;52
75;2022-05-16 16:01:40;18;51,6
76;2022-05-16 16:06:40;18,3;51,1
77;2022-05-16 16:11:40;19,6;53,3
78;2022-05-16 16:16:40;21,7;49,5
79;2022-05-16 16:21:40;20,3;47,8
80;2022-05-16 16:26:40;19,4;48,7
81;2022-05-16 16:31:40;18,9;49,2
82;2022-05-16 16:36:40;18,6;49,6
83;2022-05-16 16:41:40;18,5;50,1
84;2022-05-16 16:46:40;18,4;50,1
85;2022-05-16 16:51:40;18,2;50,6
86;2022-05-16 16:56:40;18,2;50,6
87;2022-05-16 17:01:40;18,1;50,6
88;2022-05-16 17:06:40;18;50,6
89;2022-05-16 17:11:40;18;51,1
90;2022-05-16 17:16:40;18;51,1
91;2022-05-16 17:21:40;17,9;51,1
92;2022-05-16 17:26:40;17,8;51,5
93;2022-05-16 17:31:40;17,7;51,5
94;2022-05-16 17:36:40;17,7;51,5
95;2022-05-16 17:41:40;17,6;51,5
96;2022-05-16 17:46:40;17,5;51,5
97;2022-05-16 17:51:40;17,4;52
98;2022-05-16 17:56:40;17,4;52
99;2022-05-16 18:01:40;17,4;52,5
100;2022-05-16 18:06:40;17,3;52,5
101;2022-05-16 18:11:40;17,2;52,5
102;2022-05-16 18:16:40;17,1;52,5
103;2022-05-16 18:21:40;17;52,9
104;2022-05-16 18:26:40;16,9;52,9
105;2022-05-16 18:31:40;16,8;52,9
106;2022-05-16 18:36:40;16,7;53,4
107;2022-05-16 18:41:40;16,7;53,4
108;2022-05-16 18:46:40;16,7;53,4
109;2022-05-16 18:51:40;16,6;53,4
110;2022-05-16 18:56:40;16,5;53,4
111;2022-05-16 19:01:40;16,5;53,8
112;2022-05-16 19:06:40;16,4;53,8
113;2022-05-16 19:11:40;16,3;54,3
114;2022-05-16 19:16:40;16,3;54,3
115;2022-05-16 19:21:40;16,2;54,3
116;2022-05-16 19:26:40;16,1;54,3
117;2022-05-16 19:31:40;16,1;54,3
118;2022-05-16 19:36:40;16;54,8
119;2022-05-16 19:41:40;16;54,8
