RC-4HC Temperature+Humidity Data Logger;;;
User Information;00v309;;
Number;V309;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3643;;
Temperature Maximum;31,4°C;;
Temperature Minimum;12,1°C;;
Temperature Average;16,8°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;64,1%RH;;
Humidity Minimum;40%RH;;
Humidity Average;55,4%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16/5/2022 09:46;;
End Time;29/5/2022 01:16;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-16 09:46:55;18,5;49,7
2;2022-05-16 09:51:55;18,9;46,6
3;2022-05-16 09:56:55;18,9;45,8
4;2022-05-16 10:01:55;18,8;45,1
5;2022-05-16 10:06:55;18,7;44,7
6;2022-05-16 10:11:55;18,5;44,5
7;2022-05-16 10:16:55;18,3;44,4
8;2022-05-16 10:21:55;18,3;44,3
9;2022-05-16 10:26:55;18,4;45,1
10;2022-05-16 10:31:55;18,5;45,5
11;2022-05-16 10:36:55;18,6;45,5
12;2022-05-16 10:41:55;18,4;43,2
13;2022-05-16 10:46:55;18,3;43,4
14;2022-05-16 10:51:55;18,2;42,6
15;2022-05-16 10:56:55;18,5;44,2
16;2022-05-16 11:01:55;18,6;43,9
17;2022-05-16 11:06:55;18,6;44,4
18;2022-05-16 11:11:55;19;43,7
19;2022-05-16 11:16:55;18,8;41,3
20;2022-05-16 11:21:55;18,6;42
21;2022-05-16 11:26:55;18,8;45,2
22;2022-05-16 11:31:55;20,3;48,9
23;2022-05-16 11:36:55;20,2;43,1
24;2022-05-16 11:41:55;20,3;51,3
25;2022-05-16 11:46:55;21;54,8
26;2022-05-16 11:51:55;21,3;54,1
27;2022-05-16 11:56:55;21,3;50,2
28;2022-05-16 12:01:55;21,4;49,5
29;2022-05-16 12:06:55;21,3;46,8
30;2022-05-16 12:11:55;21,2;46,7
31;2022-05-16 12:16:55;21,2;46,4
32;2022-05-16 12:21:55;21,6;46
33;2022-05-16 12:26:55;21,7;44,5
34;2022-05-16 12:31:55;21,6;42,9
35;2022-05-16 12:36:55;21,2;43,2
36;2022-05-16 12:41:55;20,8;43,7
37;2022-05-16 12:46:55;21,6;45,5
38;2022-05-16 12:51:55;22,1;45,9
39;2022-05-16 12:56:55;21,8;44,4
40;2022-05-16 13:01:55;21,1;43,9
41;2022-05-16 13:06:55;21,5;43,6
42;2022-05-16 13:11:55;21,7;45,1
43;2022-05-16 13:16:55;22,9;48
44;2022-05-16 13:21:55;23,7;49,3
45;2022-05-16 13:26:55;24,1;47
46;2022-05-16 13:31:55;24,3;48,3
47;2022-05-16 13:36:55;24,5;47,6
48;2022-05-16 13:41:55;24,9;47,5
49;2022-05-16 13:46:55;25,1;47,9
50;2022-05-16 13:51:55;25,3;47
51;2022-05-16 13:56:55;25,1;45,9
52;2022-05-16 14:01:55;25,2;47,4
53;2022-05-16 14:06:55;25;46,5
54;2022-05-16 14:11:55;24,9;45,8
55;2022-05-16 14:16:55;23,9;40
56;2022-05-16 14:21:55;22,5;42,2
57;2022-05-16 14:26:55;22,2;42,7
58;2022-05-16 14:31:55;22,1;43,4
59;2022-05-16 14:36:55;21,4;41,2
60;2022-05-16 14:41:55;20,1;42,1
61;2022-05-16 14:46:55;19,5;43,2
62;2022-05-16 14:51:55;19,2;44,2
63;2022-05-16 14:56:55;19;44,7
64;2022-05-16 15:01:55;18,8;45,1
65;2022-05-16 15:06:55;18,7;45,3
66;2022-05-16 15:11:55;18,7;45,6
67;2022-05-16 15:16:55;18,7;45,9
68;2022-05-16 15:21:55;18,7;46,1
69;2022-05-16 15:26:55;18,7;46,3
70;2022-05-16 15:31:55;18,7;46,3
71;2022-05-16 15:36:55;18,7;46,4
72;2022-05-16 15:41:55;18,7;46,5
73;2022-05-16 15:46:55;18,7;46,4
74;2022-05-16 15:51:55;18,7;46,4
75;2022-05-16 15:56:55;18,7;46,5
76;2022-05-16 16:01:55;18,7;46,5
77;2022-05-16 16:06:55;18,7;46,6
78;2022-05-16 16:11:55;18,7;46,6
79;2022-05-16 16:16:55;18,7;46,7
80;2022-05-16 16:21:55;18,7;46,7
81;2022-05-16 16:26:55;18,6;46,7
82;2022-05-16 16:31:55;18,6;46,7
83;2022-05-16 16:36:55;18,6;46,8
84;2022-05-16 16:41:55;18,6;46,9
85;2022-05-16 16:46:55;18,6;46,9
86;2022-05-16 16:51:55;18,6;47
