RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V501;;
Number;719AH10181;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3603;;
Temperature Maximum;24,4°C;;
Temperature Minimum;11,8°C;;
Temperature Average;16,4°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;70,4%RH;;
Humidity Minimum;47,5%RH;;
Humidity Average;57,9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16/5/2022 09:48;;
End Time;28/5/2022 21:58;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-16 09:48:28;18,4;50,6
2;2022-05-16 09:53:28;18,2;48,6
3;2022-05-16 09:58:28;18;47,5
4;2022-05-16 10:03:28;17,8;48
5;2022-05-16 10:08:28;17,6;48,5
6;2022-05-16 10:13:28;17,5;48,5
7;2022-05-16 10:18:28;17,4;48,5
8;2022-05-16 10:23:28;17,3;49
9;2022-05-16 10:28:28;17,2;48,9
10;2022-05-16 10:33:28;17,1;48,9
11;2022-05-16 10:38:28;17;49,4
12;2022-05-16 10:43:28;16,9;49,4
13;2022-05-16 10:48:28;16,9;49,4
14;2022-05-16 10:53:28;16,8;49,4
15;2022-05-16 10:58:28;16,7;49,9
16;2022-05-16 11:03:28;16,7;49,9
17;2022-05-16 11:08:28;16,7;49,9
18;2022-05-16 11:13:28;16,6;49,9
19;2022-05-16 11:18:28;16,6;50,4
20;2022-05-16 11:23:28;16,5;50,4
21;2022-05-16 11:28:28;16,5;50,4
22;2022-05-16 11:33:28;16,5;50,4
23;2022-05-16 11:38:28;16,4;50,4
24;2022-05-16 11:43:28;16,4;50,4
25;2022-05-16 11:48:28;16,4;50,9
26;2022-05-16 11:53:28;16,4;50,4
27;2022-05-16 11:58:28;16,4;50,9
28;2022-05-16 12:03:28;16,4;50,9
29;2022-05-16 12:08:28;16,4;50,9
30;2022-05-16 12:13:28;16,4;50,9
31;2022-05-16 12:18:28;16,4;50,9
32;2022-05-16 12:23:28;16,4;51,4
33;2022-05-16 12:28:28;16,4;51,4
34;2022-05-16 12:33:28;16,4;51,4
35;2022-05-16 12:38:28;16,4;51,4
36;2022-05-16 12:43:28;16,4;51,4
37;2022-05-16 12:48:28;16,4;51,4
38;2022-05-16 12:53:28;16,4;51,4
39;2022-05-16 12:58:28;16,4;51,4
40;2022-05-16 13:03:28;16,5;51,4
41;2022-05-16 13:08:28;16,5;51,4
42;2022-05-16 13:13:28;16,5;51,4
43;2022-05-16 13:18:28;16,5;51,4
44;2022-05-16 13:23:28;16,5;51,4
45;2022-05-16 13:28:28;16,5;51,4
46;2022-05-16 13:33:28;16,5;51,4
47;2022-05-16 13:38:28;16,5;51,4
48;2022-05-16 13:43:28;16,6;51,4
49;2022-05-16 13:48:28;16,6;51,4
50;2022-05-16 13:53:28;16,6;51,4
51;2022-05-16 13:58:28;16,6;51,4
52;2022-05-16 14:03:28;16,6;51,4
53;2022-05-16 14:08:28;16,7;51,4
54;2022-05-16 14:13:28;16,7;51,4
55;2022-05-16 14:18:28;16,7;51,4
56;2022-05-16 14:23:28;16,7;51,4
57;2022-05-16 14:28:28;16,7;51,4
58;2022-05-16 14:33:28;16,7;51,4
59;2022-05-16 14:38:28;16,8;51,4
60;2022-05-16 14:43:28;16,9;51,4
61;2022-05-16 14:48:28;17;51,5
62;2022-05-16 14:53:28;17,1;51,5
63;2022-05-16 14:58:28;17,2;51,5
64;2022-05-16 15:03:28;17,2;51,5
65;2022-05-16 15:08:28;17,3;51,5
66;2022-05-16 15:13:28;17,3;51,5
67;2022-05-16 15:18:28;17,4;51,5
68;2022-05-16 15:23:28;17,4;51,5
69;2022-05-16 15:28:28;17,4;51,5
70;2022-05-16 15:33:28;17,5;51,5
71;2022-05-16 15:38:28;17,5;51
72;2022-05-16 15:43:28;17,5;51
73;2022-05-16 15:48:28;17,5;51
74;2022-05-16 15:53:28;17,5;51
75;2022-05-16 15:58:28;17,5;51
76;2022-05-16 16:03:28;17,6;51
77;2022-05-16 16:08:28;17,6;51
78;2022-05-16 16:13:28;17,7;51
79;2022-05-16 16:18:28;17,8;50,5
80;2022-05-16 16:23:28;17,8;50,6
81;2022-05-16 16:28:28;17,9;50,6
82;2022-05-16 16:33:28;17,9;50,6
83;2022-05-16 16:38:28;18;52,6
84;2022-05-16 16:43:28;20,3;62,6
85;2022-05-16 16:48:28;21,5;61,4
86;2022-05-16 16:53:28;22,1;53,2
87;2022-05-16 16:58:28;20,8;47,9
88;2022-05-16 17:03:28;19,8;48,2
89;2022-05-16 17:08:28;19,2;48,7
90;2022-05-16 17:13:28;18,8;49,7
91;2022-05-16 17:18:28;18,6;49,6
92;2022-05-16 17:23:28;18,4;49,6
93;2022-05-16 17:28:28;18,3;49,6
94;2022-05-16 17:33:28;18,2;49,6
95;2022-05-16 17:38:28;18;50,1
96;2022-05-16 17:43:28;18;50,6
97;2022-05-16 17:48:28;17,8;50,5
98;2022-05-16 17:53:28;17,7;51
99;2022-05-16 17:58:28;17,6;51
100;2022-05-16 18:03:28;17,5;51
101;2022-05-16 18:08:28;17,5;51
102;2022-05-16 18:13:28;17,4;51,5
103;2022-05-16 18:18:28;17,3;51,5
104;2022-05-16 18:23:28;17,1;51,5
105;2022-05-16 18:28:28;17;51,9
106;2022-05-16 18:33:28;16,9;51,9
107;2022-05-16 18:38:28;16,8;52,4
108;2022-05-16 18:43:28;16,7;52,4
109;2022-05-16 18:48:28;16,7;52,4
110;2022-05-16 18:53:28;16,6;52,4
111;2022-05-16 18:58:28;16,5;52,9
112;2022-05-16 19:03:28;16,4;52,9
113;2022-05-16 19:08:28;16,3;52,8
114;2022-05-16 19:13:28;16,3;53,3
115;2022-05-16 19:18:28;16,2;53,3
116;2022-05-16 19:23:28;16,1;53,3
117;2022-05-16 19:28:28;16;53,3
118;2022-05-16 19:33:28;16;53,3
119;2022-05-16 19:38:28;16;53,8
120;2022-05-16 19:43:28;15,9;53,8
121;2022-05-16 19:48:28;15,9;53,8
122;2022-05-16 19:53:28;15,8;53,8
123;2022-05-16 19:58:28;15,8;54,2
124;2022-05-16 20:03:28;15,7;54,2
125;2022-05-16 20:08:28;15,7;54,2
126;2022-05-16 20:13:28;15,6;54,2
127;2022-05-16 20:18:28;15,6;54,2
128;2022-05-16 20:23:28;15,5;54,2
129;2022-05-16 20:28:28;15,5;54,2
130;2022-05-16 20:33:28;15,4;54,2
131;2022-05-16 20:38:28;15,4;54,7
132;2022-05-16 20:43:28;15,4;54,7
133;2022-05-16 20:48:28;15,4;54,7
134;2022-05-16 20:53:28;15,4;54,7
135;2022-05-16 20:58:28;15,3;55,1
136;2022-05-16 21:03:28;15,3;55,2
137;2022-05-16 21:08:28;15,3;55,1
138;2022-05-16 21:13:28;15,2;55,1
139;2022-05-16 21:18:28;15,2;55,1
140;2022-05-16 21:23:28;15,2;55,1
141;2022-05-16 21:28:28;15,1;55,1
142;2022-05-16 21:33:28;15,1;55,6
143;2022-05-16 21:38:28;15;55,6
144;2022-05-16 21:43:28;15;55,6
145;2022-05-16 21:48:28;15;55,6
146;2022-05-16 21:53:28;14,9;55,6
147;2022-05-16 21:58:28;14,9;55,6
148;2022-05-16 22:03:28;14,8;56,1
149;2022-05-16 22:08:28;14,8;55,6
150;2022-05-16 22:13:28;14,8;56
151;2022-05-16 22:18:28;14,7;56
152;2022-05-16 22:23:28;14,7;56
153;2022-05-16 22:28:28;14,7;56
154;2022-05-16 22:33:28;14,7;56
155;2022-05-16 22:38:28;14,6;56
156;2022-05-16 22:43:28;14,6;56
157;2022-05-16 22:48:28;14,6;56
158;2022-05-16 22:53:28;14,5;56
159;2022-05-16 22:58:28;14,5;56
160;2022-05-16 23:03:28;14,5;56
161;2022-05-16 23:08:28;14,4;56
162;2022-05-16 23:13:28;14,4;56
163;2022-05-16 23:18:28;14,4;56
164;2022-05-16 23:23:28;14,3;56
165;2022-05-16 23:28:28;14,3;56
166;2022-05-16 23:33:28;14,3;56
167;2022-05-16 23:38:28;14,2;56
168;2022-05-16 23:43:28;14,2;56,4
169;2022-05-16 23:48:28;14,2;56,4
170;2022-05-16 23:53:28;14,1;56,4
171;2022-05-16 23:58:28;14,1;56,4
172;2022-05-17 00:03:28;14,1;56,4
173;2022-05-17 00:08:28;14;56,4
174;2022-05-17 00:13:28;14;56,4
175;2022-05-17 00:18:28;14;56,4
176;2022-05-17 00:23:28;14;56,4
177;2022-05-17 00:28:28;14;56,4
178;2022-05-17 00:33:28;14;56,4
179;2022-05-17 00:38:28;14;56,4
180;2022-05-17 00:43:28;13,9;56,4
181;2022-05-17 00:48:28;13,9;56,4
182;2022-05-17 00:53:28;13,9;56,4
183;2022-05-17 00:58:28;13,9;56,4
184;2022-05-17 01:03:28;13,8;56,4
185;2022-05-17 01:08:28;13,8;56,4
186;2022-05-17 01:13:28;13,8;56,4
187;2022-05-17 01:18:28;13,7;56,4
188;2022-05-17 01:23:28;13,7;56,4
189;2022-05-17 01:28:28;13,7;56,4
