Data Report;;;;;
File created on:2020-08-18 15:54:00;;;;;
;;;;;
Device Information;;;;;
Device Model;RC-4HC;Logging Interval;300;Start Time;10/08/2020 11:02
Total Space;16000;Press Button ;Disable;Temperature Unit;°C
Storage Mode;N/A;Alarm Tone;Disable;;
Button Tone;Disable;Logging interval shortened in alarm;N/A;;
Trip Description;;;;;
Serial Number;V59;;;;
Trip Description;RC-4HC Data Logger;;;;
Alarm Settings;Alarm Status;;;;
H1:60,0°C;Normal;;;;
Ideal Zone;;;;;
L1:-30,0°C;Normal;;;;
Above:90,0%;Normal;;;;
Ideal Zone;;;;;
Below:20,0%;Normal;;;;
Summary;;;;;
Data Points;2363;;Mean Kinetic Temperature (MKT);13,4;
First Reading;10/08/2020 11:02;;Last Reading;18/08/2020 15:52;
Maximum(Temperature);19,4°C;;Minimum(Temperature);9,6°C;
Average(Temperature);13,2°C;;Recorded Period;8D 4H 50M 0S;
First Alarm(Temperature);N/A;;;;
Maximum(Humidity);57,10%;;Minimum(Humidity);42,10%;
Average(Humidity);51,00%;;;;
First Alarm(Humidity);N/A;;;;
;;;;;
No.;Time;Temperature°C;Humidity%;;
1;10/08/2020 11:02;17,2;52;;
2;10/08/2020 11:07;16,2;54,3;;
3;10/08/2020 11:12;17,5;54,5;;
4;10/08/2020 11:17;18,8;53,7;;
5;10/08/2020 11:22;19,4;52,7;;
6;10/08/2020 11:27;19;50,2;;
7;10/08/2020 11:32;16,9;51,4;;
8;10/08/2020 11:37;15,9;53,3;;
9;10/08/2020 11:42;15,4;54,1;;
10;10/08/2020 11:47;15,1;55,1;;
11;10/08/2020 11:52;15;55,6;;
12;10/08/2020 11:57;14,9;56;;
13;10/08/2020 12:02;14,9;50;;
14;10/08/2020 12:07;14,9;50;;
15;10/08/2020 12:12;14,9;40;;
16;10/08/2020 12:17;15;50;;
17;10/08/2020 12:22;15;57;;
18;10/08/2020 12:27;15;57;;
19;10/08/2020 12:32;15,1;57;;
20;10/08/2020 12:37;15,1;57;;
21;10/08/2020 12:42;15,2;54,2;;
22;10/08/2020 12:47;15,3;54,2;;
23;10/08/2020 12:52;15,3;54,2;;
24;10/08/2020 12:57;15,3;54,2;;
25;10/08/2020 13:02;15,4;54,2;;
26;10/08/2020 13:07;15,5;54,7;;
27;10/08/2020 13:12;15,6;54,7;;
28;10/08/2020 13:17;15,6;54,2;;
29;10/08/2020 13:22;15,7;54,2;;
30;10/08/2020 13:27;15,7;54,2;;
31;10/08/2020 13:32;15,8;54,2;;
32;10/08/2020 13:37;15,9;54,3;;
33;10/08/2020 13:42;15,9;54,3;;
34;10/08/2020 13:47;15,9;54,3;;
35;10/08/2020 13:52;15,9;54,3;;
36;10/08/2020 13:57;15,9;53,8;;
37;10/08/2020 14:02;15,9;53,8;;
38;10/08/2020 14:07;15,9;53,8;;
39;10/08/2020 14:12;16;53,8;;
40;10/08/2020 14:17;16;53,3;;
41;10/08/2020 14:22;16;53,3;;
42;10/08/2020 14:27;16;53,3;;
43;10/08/2020 14:32;16;53,3;;
44;10/08/2020 14:37;16;53,3;;
45;10/08/2020 14:42;16;53,3;;
46;10/08/2020 14:47;16;53,3;;
47;10/08/2020 14:52;16;52,8;;
48;10/08/2020 14:57;16,1;52,8;;
49;10/08/2020 15:02;16,1;52,3;;
50;10/08/2020 15:07;16,1;52,3;;
51;10/08/2020 15:12;16,1;52,3;;
52;10/08/2020 15:17;16,2;52,3;;
53;10/08/2020 15:22;16,2;52,4;;
54;10/08/2020 15:27;16,2;52,4;;
55;10/08/2020 15:32;16,2;52,4;;
56;10/08/2020 15:37;16,2;51,9;;
57;10/08/2020 15:42;16,3;51,9;;
58;10/08/2020 15:47;16,3;51,9;;
59;10/08/2020 15:52;16,4;51,9;;
60;10/08/2020 15:57;16,4;51,9;;
61;10/08/2020 16:02;16,4;51,9;;
62;10/08/2020 16:07;16,4;51,4;;
63;10/08/2020 16:12;16,4;51,4;;
64;10/08/2020 16:17;16,4;51,4;;
65;10/08/2020 16:22;16,4;51,4;;
66;10/08/2020 16:27;16,4;51,4;;
67;10/08/2020 16:32;16,4;51,4;;
68;10/08/2020 16:37;16,4;51,4;;
69;10/08/2020 16:42;16,4;50,9;;
70;10/08/2020 16:47;16,5;50,9;;
71;10/08/2020 16:52;16,5;50,9;;
72;10/08/2020 16:57;16,5;50,4;;
73;10/08/2020 17:02;16,5;50,4;;
74;10/08/2020 17:07;16,5;50,4;;
75;10/08/2020 17:12;16,5;50,4;;
76;10/08/2020 17:17;16,5;50,4;;
77;10/08/2020 17:22;16,5;50,4;;
78;10/08/2020 17:27;16,5;50,4;;
79;10/08/2020 17:32;16,5;50,4;;
80;10/08/2020 17:37;16,6;49,9;;
81;10/08/2020 17:42;16,6;49,9;;
82;10/08/2020 17:47;16,5;49,9;;
83;10/08/2020 17:52;16,6;49,9;;
84;10/08/2020 17:57;16,6;49,4;;
85;10/08/2020 18:02;16,6;49,4;;
86;10/08/2020 18:07;16,5;49,4;;
87;10/08/2020 18:12;16,5;49,4;;
88;10/08/2020 18:17;16,4;48,9;;
89;10/08/2020 18:22;16,4;48,9;;
90;10/08/2020 18:27;16,3;48,4;;
91;10/08/2020 18:32;16,2;48,4;;
92;10/08/2020 18:37;16,2;48,4;;
93;10/08/2020 18:42;16,1;48,4;;
94;10/08/2020 18:47;16;48,4;;
95;10/08/2020 18:52;16;48,9;;
96;10/08/2020 18:57;16;48,9;;
97;10/08/2020 19:02;16;49,4;;
98;10/08/2020 19:07;16,1;49,4;;
99;10/08/2020 19:12;16;49,4;;
100;10/08/2020 19:17;16;48,9;;
101;10/08/2020 19:22;16,1;48,4;;
102;10/08/2020 19:27;16;48,4;;
103;10/08/2020 19:32;15,9;47,4;;
104;10/08/2020 19:37;15,8;47,3;;
105;10/08/2020 19:42;15,6;47,3;;
106;10/08/2020 19:47;15,5;47,3;;
107;10/08/2020 19:52;15,4;47,3;;
108;10/08/2020 19:57;15,3;47,3;;
109;10/08/2020 20:02;15,2;47,3;;
110;10/08/2020 20:07;15,1;47,2;;
111;10/08/2020 20:12;15,1;47,7;;
112;10/08/2020 20:17;15;47,7;;
113;10/08/2020 20:22;14,9;47,7;;
114;10/08/2020 20:27;14,9;48,2;;
115;10/08/2020 20:32;14,8;48,2;;
116;10/08/2020 20:37;14,8;48,2;;
117;10/08/2020 20:42;14,7;48,2;;
118;10/08/2020 20:47;14,7;48,2;;
119;10/08/2020 20:52;14,7;48,2;;
120;10/08/2020 20:57;14,6;48,2;;
121;10/08/2020 21:02;14,5;48,2;;
122;10/08/2020 21:07;14,5;48,2;;
123;10/08/2020 21:12;14,5;48,7;;
124;10/08/2020 21:17;14,4;48,2;;
125;10/08/2020 21:22;14,4;48,7;;
126;10/08/2020 21:27;14,3;48,6;;
127;10/08/2020 21:32;14,3;48,1;;
128;10/08/2020 21:37;14,3;48,6;;
129;10/08/2020 21:42;14,2;48,6;;
130;10/08/2020 21:47;14,2;48,6;;
131;10/08/2020 21:52;14,2;48,6;;
132;10/08/2020 21:57;14,1;48,6;;
133;10/08/2020 22:02;14,1;48,6;;
134;10/08/2020 22:07;14;49,1;;
135;10/08/2020 22:12;14;48,6;;
136;10/08/2020 22:17;14;48,6;;
137;10/08/2020 22:22;14;49,1;;
138;10/08/2020 22:27;14;49,1;;
139;10/08/2020 22:32;13,9;49,1;;
140;10/08/2020 22:37;13,9;49,1;;
141;10/08/2020 22:42;13,9;49,1;;
142;10/08/2020 22:47;13,8;49,1;;
143;10/08/2020 22:52;13,8;48,6;;
144;10/08/2020 22:57;13,7;48,6;;
145;10/08/2020 23:02;13,7;48,6;;
146;10/08/2020 23:07;13,7;48,6;;
147;10/08/2020 23:12;13,6;48,6;;
148;10/08/2020 23:17;13,6;49,1;;
149;10/08/2020 23:22;13,6;49,1;;
150;10/08/2020 23:27;13,5;49;;
151;10/08/2020 23:32;13,5;49;;
152;10/08/2020 23:37;13,5;49;;
153;10/08/2020 23:42;13,4;49;;
154;10/08/2020 23:47;13,4;49;;
155;10/08/2020 23:52;13,4;49;;
156;10/08/2020 23:57;13,4;49;;
157;11/08/2020 0:02;13,3;49;;
158;11/08/2020 0:07;13,3;49;;
159;11/08/2020 0:12;13,2;49;;
160;11/08/2020 0:17;13,2;49;;
161;11/08/2020 0:22;13,2;49;;
162;11/08/2020 0:27;13,2;49;;
163;11/08/2020 0:32;13,1;49;;
164;11/08/2020 0:37;13,1;49;;
165;11/08/2020 0:42;13;49;;
166;11/08/2020 0:47;13;49;;
167;11/08/2020 0:52;13;49;;
168;11/08/2020 0:57;12,9;49;;
169;11/08/2020 1:02;12,9;49;;
170;11/08/2020 1:07;12,9;49;;
171;11/08/2020 1:12;12,8;49;;
172;11/08/2020 1:17;12,8;49;;
173;11/08/2020 1:22;12,7;48,9;;
174;11/08/2020 1:27;12,7;48,9;;
175;11/08/2020 1:32;12,7;48,9;;
176;11/08/2020 1:37;12,7;48,9;;
177;11/08/2020 1:42;12,7;48,9;;
178;11/08/2020 1:47;12,6;48,9;;
179;11/08/2020 1:52;12,6;48,4;;
180;11/08/2020 1:57;12,5;48,4;;
181;11/08/2020 2:02;12,5;48,9;;
182;11/08/2020 2:07;12,5;48,4;;
183;11/08/2020 2:12;12,5;48,4;;
184;11/08/2020 2:17;12,4;48,4;;
185;11/08/2020 2:22;12,4;48,4;;
186;11/08/2020 2:27;12,4;48,4;;
187;11/08/2020 2:32;12,3;48,4;;
188;11/08/2020 2:37;12,3;48,4;;
189;11/08/2020 2:42;12,3;48,4;;
190;11/08/2020 2:47;12,3;48,4;;
191;11/08/2020 2:52;12,2;48,4;;
192;11/08/2020 2:57;12,2;48,4;;
193;11/08/2020 3:02;12,2;48,4;;
194;11/08/2020 3:07;12,1;48,4;;
195;11/08/2020 3:12;12,1;48,4;;
196;11/08/2020 3:17;12,1;48,4;;
197;11/08/2020 3:22;12;48,4;;
198;11/08/2020 3:27;12;48,4;;
199;11/08/2020 3:32;12;48,4;;
200;11/08/2020 3:37;12;48,3;;
201;11/08/2020 3:42;12;48,3;;
202;11/08/2020 3:47;12;48,3;;
203;11/08/2020 3:52;11,9;48,3;;
204;11/08/2020 3:57;11,9;48,3;;
205;11/08/2020 4:02;11,9;48,3;;
206;11/08/2020 4:07;11,8;48,3;;
207;11/08/2020 4:12;11,8;48,3;;
