RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V456;;
Number;7186E00399;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;3427;;
Temperature Maximum;29°C;;
Temperature Minimum;7.5°C;;
Temperature Average;15.9°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;86.1%RH;;
Humidity Minimum;34.6%RH;;
Humidity Average;58.9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2020/09/09 13:00:00;;
End Time;2020/09/11 22:03:00;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2020/09/09 13:00:00;-19,9;57.8
2;2020/09/09 13:01:00;-19,7;59.7
3;2020/09/09 13:02:00;-19,2;60.3
4;2020/09/09 13:03:00;-19,4;58.9
5;2020/09/09 13:04:00;-21,5;58.4
6;2020/09/09 13:05:00;-22,9;58
7;2020/09/09 13:06:00;-23,7;60.5
8;2020/09/09 13:07:00;-24,2;60.3
9;2020/09/09 13:08:00;-24,6;55.9
10;2020/09/09 13:09:00;-24,8;59.9
11;2020/09/09 13:10:00;-24,8;63
12;2020/09/09 13:11:00;-24,9;64.8
13;2020/09/09 13:12:00;-24,9;66.1
14;2020/09/09 13:13:00;-24,9;67
15;2020/09/09 13:14:00;-24,9;67.4
16;2020/09/09 13:15:00;-24,9;67.8
17;2020/09/09 13:16:00;-24,8;68.3
18;2020/09/09 13:17:00;-24,8;68.7
19;2020/09/09 13:18:00;-24,8;69.2
20;2020/09/09 13:19:00;-24,7;69.2
21;2020/09/09 13:20:00;-24,7;69.2
22;2020/09/09 13:21:00;-24,7;69.2
23;2020/09/09 13:22:00;-24,7;69.2
24;2020/09/09 13:23:00;-24,7;69.2
25;2020/09/09 13:24:00;-24,7;69.2
26;2020/09/09 13:25:00;-24,6;69.2
27;2020/09/09 13:26:00;-24,6;69.2
28;2020/09/09 13:27:00;-24,6;69.2
29;2020/09/09 13:28:00;-24,6;69.2
30;2020/09/09 13:29:00;-24,6;69.2
31;2020/09/09 13:30:00;-24,7;69.6
32;2020/09/09 13:31:00;-24,7;69.6
33;2020/09/09 13:32:00;-24,8;70
34;2020/09/09 13:33:00;-24,7;70
35;2020/09/09 13:34:00;-24,7;70
36;2020/09/09 13:35:00;-24,7;70.1
37;2020/09/09 13:36:00;-24,7;70
38;2020/09/09 13:37:00;-24,6;70.1
39;2020/09/09 13:38:00;-24,6;70.5
40;2020/09/09 13:39:00;-24,5;70.1
41;2020/09/09 13:40:00;-24,4;70.5
42;2020/09/09 13:41:00;-24,3;70.5
43;2020/09/09 13:42:00;-24,3;70.1
44;2020/09/09 13:43:00;-24,3;70.1
45;2020/09/09 13:44:00;-24,3;69.7
46;2020/09/09 13:45:00;-24,4;69.7
47;2020/09/09 13:46:00;-24,4;69.6
48;2020/09/09 13:47:00;-24,5;69.6
49;2020/09/09 13:48:00;-24,6;69.6
50;2020/09/09 13:49:00;-24,7;69.6
51;2020/09/09 13:50:00;-24,8;70
52;2020/09/09 13:51:00;-24,9;70.4
53;2020/09/09 13:52:00;-25;70.8
54;2020/09/09 13:53:00;-25,1;71.2
55;2020/09/09 13:54:00;-25,2;71.6
56;2020/09/09 13:55:00;-25,3;71.6
57;2020/09/09 13:56:00;-25,3;72
58;2020/09/09 13:57:00;-25,4;72.4
59;2020/09/09 13:58:00;-25,5;72.8
60;2020/09/09 13:59:00;-25,6;72.7
61;2020/09/09 14:00:00;-25,6;73.1
62;2020/09/09 14:01:00;-25,7;73.5
63;2020/09/09 14:02:00;-25,8;73.5
64;2020/09/09 14:03:00;-25,9;73.9
65;2020/09/09 14:04:00;-26;73.9
66;2020/09/09 14:05:00;-26,1;74.3
67;2020/09/09 14:06:00;-26,1;74.3
68;2020/09/09 14:07:00;-26,2;74.7
69;2020/09/09 14:08:00;-26,3;75.1
70;2020/09/09 14:09:00;-26,4;75.1
71;2020/09/09 14:10:00;-26,4;75.1
72;2020/09/09 14:11:00;-26,5;75
73;2020/09/09 14:12:00;-26,6;75
74;2020/09/09 14:13:00;-26,7;75.4
75;2020/09/09 14:14:00;-26,7;75.4
76;2020/09/09 14:15:00;-26,8;75.4
77;2020/09/09 14:16:00;-26,8;75.8
78;2020/09/09 14:17:00;-26,9;75.8
79;2020/09/09 14:18:00;-26,9;75.8
80;2020/09/09 14:19:00;-27;75.8
81;2020/09/09 14:20:00;-27;75.8
82;2020/09/09 14:21:00;-27,1;76.2
83;2020/09/09 14:22:00;-27,2;76.1
84;2020/09/09 14:23:00;-27,2;76.1
85;2020/09/09 14:24:00;-27,3;76.1
86;2020/09/09 14:25:00;-27,3;76.5
87;2020/09/09 14:26:00;-27,3;76.5
88;2020/09/09 14:27:00;-27,4;76.5
89;2020/09/09 14:28:00;-27,4;76.5
90;2020/09/09 14:29:00;-27,5;76.5
91;2020/09/09 14:30:00;-27,5;76.5
92;2020/09/09 14:31:00;-27,5;76.5
93;2020/09/09 14:32:00;-27,5;76.5
94;2020/09/09 14:33:00;-27,5;76.5
95;2020/09/09 14:34:00;-27,5;76.5
96;2020/09/09 14:35:00;-27,6;76.5
97;2020/09/09 14:36:00;-27,6;76.5
98;2020/09/09 14:37:00;-27,6;76.9
99;2020/09/09 14:38:00;-27,7;76.8
100;2020/09/09 14:39:00;-27,7;76.8
101;2020/09/09 14:40:00;-27,7;76.8
102;2020/09/09 14:41:00;-27,7;76.8
103;2020/09/09 14:42:00;-27,8;76.8
104;2020/09/09 14:43:00;-27,8;76.8
105;2020/09/09 14:44:00;-27,8;76.8
106;2020/09/09 14:45:00;-27,8;77.2
107;2020/09/09 14:46:00;-27,8;77.2
108;2020/09/09 14:47:00;-27,8;77.2
109;2020/09/09 14:48:00;-27,8;77.2
110;2020/09/09 14:49:00;-27,8;77.2
111;2020/09/09 14:50:00;-27,8;77.2
112;2020/09/09 14:51:00;-27,8;77.2
113;2020/09/09 14:52:00;-27,8;77.2
114;2020/09/09 14:53:00;-27,8;77.2
115;2020/09/09 14:54:00;-27,8;77.2
116;2020/09/09 14:55:00;-27,8;77.2
117;2020/09/09 14:56:00;-27,8;77.2
118;2020/09/09 14:57:00;-27,8;77.6
119;2020/09/09 14:58:00;-27,8;77.6
120;2020/09/09 14:59:00;-27,8;77.6
121;2020/09/09 15:00:00;-27,8;77.7
122;2020/09/09 15:01:00;-27,8;77.7
123;2020/09/09 15:02:00;-27,8;77.6
124;2020/09/09 15:03:00;-27,8;77.7
125;2020/09/09 15:04:00;-27,8;77.6
126;2020/09/09 15:05:00;-27,8;77.6
127;2020/09/09 15:06:00;-27,8;77.6
128;2020/09/09 15:07:00;-27,8;78.1
129;2020/09/09 15:08:00;-27,8;78.1
130;2020/09/09 15:09:00;-27,8;78
131;2020/09/09 15:10:00;-27,8;78.1
132;2020/09/09 15:11:00;-27,8;78.1
133;2020/09/09 15:12:00;-27,8;78
134;2020/09/09 15:13:00;-27,8;78
135;2020/09/09 15:14:00;-27,8;78.1
136;2020/09/09 15:15:00;-27,8;78.1
137;2020/09/09 15:16:00;-27,8;78
138;2020/09/09 15:17:00;-27,9;78
139;2020/09/09 15:18:00;-27,9;78
140;2020/09/09 15:19:00;-27,9;78
141;2020/09/09 15:20:00;-27,9;78
142;2020/09/09 15:21:00;-27,9;78
143;2020/09/09 15:22:00;-27,9;78.4
144;2020/09/09 15:23:00;-27,9;78.4
145;2020/09/09 15:24:00;-27,9;78.4
146;2020/09/09 15:25:00;-27,9;78.4
147;2020/09/09 15:26:00;-27,9;78.4
148;2020/09/09 15:27:00;-27,9;78.4
149;2020/09/09 15:28:00;-27,9;78.4
150;2020/09/09 15:29:00;-27,9;78.4
151;2020/09/09 15:30:00;-27,9;78.4
152;2020/09/09 15:31:00;-27,9;78.4
153;2020/09/09 15:32:00;-27,9;78.4
154;2020/09/09 15:33:00;-27,9;78.8
155;2020/09/09 15:34:00;-27,9;78.8
156;2020/09/09 15:35:00;-27,9;78.8
157;2020/09/09 15:36:00;-27,9;78.8
158;2020/09/09 15:37:00;-27,9;78.8
159;2020/09/09 15:38:00;-27,9;78.8
160;2020/09/09 15:39:00;-27,9;78.8
161;2020/09/09 15:40:00;-27,9;79.2
162;2020/09/09 15:41:00;-27,9;79.2
163;2020/09/09 15:42:00;-27,9;79.2
164;2020/09/09 15:43:00;-27,9;79.6
165;2020/09/09 15:44:00;-27,9;79.6
166;2020/09/09 15:45:00;-27,9;79.6
167;2020/09/09 15:46:00;-27,9;79.6
168;2020/09/09 15:47:00;-27,9;79.6
169;2020/09/09 15:48:00;-27,9;79.6
170;2020/09/09 15:49:00;-27,9;79.6
171;2020/09/09 15:50:00;-27,9;79.6
172;2020/09/09 15:51:00;-27,9;79.6
173;2020/09/09 15:52:00;-27,9;80
174;2020/09/09 15:53:00;-27,9;80
175;2020/09/09 15:54:00;-27,9;80
176;2020/09/09 15:55:00;-27,9;80.4
177;2020/09/09 15:56:00;-27,9;80.4
178;2020/09/09 15:57:00;-27,9;80.4
179;2020/09/09 15:58:00;-27,9;80.4
180;2020/09/09 15:59:00;-27,9;80.4
181;2020/09/09 16:00:00;-27,9;80.4
182;2020/09/09 16:01:00;-27,9;80.4
183;2020/09/09 16:02:00;-27,9;80.8
184;2020/09/09 16:03:00;-27,9;80.4
185;2020/09/09 16:04:00;-27,9;80.4
186;2020/09/09 16:05:00;-27,9;80.4
187;2020/09/09 16:06:00;-27,9;80.4
188;2020/09/09 16:07:00;-27,9;80.8
189;2020/09/09 16:08:00;-27,9;80.8
190;2020/09/09 16:09:00;-27,9;80.8
191;2020/09/09 16:10:00;-27,9;80.8
192;2020/09/09 16:11:00;-27,9;81.2
193;2020/09/09 16:12:00;-27,9;81.2
194;2020/09/09 16:13:00;-27,9;81.2
195;2020/09/09 16:14:00;-27,9;81.2
196;2020/09/09 16:15:00;-27,9;81.2
197;2020/09/09 16:16:00;-27,9;81.6
198;2020/09/09 16:17:00;-27,9;82
199;2020/09/09 16:18:00;-27,9;82
200;2020/09/09 16:19:00;-27,9;82.4
201;2020/09/09 16:20:00;-27,8;82.8
202;2020/09/09 16:21:00;-27,8;82.8
203;2020/09/09 16:22:00;-27,8;82.8
204;2020/09/09 16:23:00;-27,8;83.2
205;2020/09/09 16:24:00;-27,8;83.2
206;2020/09/09 16:25:00;-27,8;83.6
207;2020/09/09 16:26:00;-27,7;83.6
208;2020/09/09 16:27:00;-27,7;83.6
209;2020/09/09 16:28:00;-27,7;83.6
210;2020/09/09 16:29:00;-27,7;83.6
211;2020/09/09 16:30:00;-27,6;84
212;2020/09/09 16:31:00;-27,6;84.4
213;2020/09/09 16:32:00;-27,6;84.4
214;2020/09/09 16:33:00;-27,6;84.4
215;2020/09/09 16:34:00;-27,6;84.8
216;2020/09/09 16:35:00;-27,5;85.2
217;2020/09/09 16:36:00;-27,5;85.2
218;2020/09/09 16:37:00;-27,5;85.2
219;2020/09/09 16:38:00;-27,5;85.2
220;2020/09/09 16:39:00;-27,5;85.2
221;2020/09/09 16:40:00;-27,5;85.2
222;2020/09/09 16:41:00;-27,5;85.6
223;2020/09/09 16:42:00;-27,5;85.6
224;2020/09/09 16:43:00;-27,4;85.6
225;2020/09/09 16:44:00;-27,4;85.6
226;2020/09/09 16:45:00;-27,4;86
