RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;V106;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;3425;;
Temperature Maximum;29°C;;
Temperature Minimum;7.5°C;;
Temperature Average;15.4°C;;
Temperature Alarm Upper Limit;70.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;84.3%RH;;
Humidity Minimum;29.6%RH;;
Humidity Average;60.4%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;9/09/2020 11:16;;
End Time;21/09/2020 11:36;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2020/09/09 13:00:00;-29,9;59.3
2;2020/09/09 13:01:00;-29,7;60.6
3;2020/09/09 13:02:00;-29,2;61.5
4;2020/09/09 13:03:00;-29,4;62.5
5;2020/09/09 13:04:00;-31,5;62
6;2020/09/09 13:05:00;-32,9;61.6
7;2020/09/09 13:06:00;-33,7;62.1
8;2020/09/09 13:07:00;-34,2;62.6
9;2020/09/09 13:08:00;-34,6;63.5
10;2020/09/09 13:09:00;-34,8;63.1
11;2020/09/09 13:10:00;-34,8;60.2
12;2020/09/09 13:11:00;-34,9;63.1
13;2020/09/09 13:12:00;-34,9;66.1
14;2020/09/09 13:13:00;-34,9;67.8
15;2020/09/09 13:14:00;-34,9;69.5
16;2020/09/09 13:15:00;-34,9;70.8
17;2020/09/09 13:16:00;-34,8;71.6
18;2020/09/09 13:17:00;-34,8;72
19;2020/09/09 13:18:00;-34,8;72.9
20;2020/09/09 13:19:00;-34,7;72.9
21;2020/09/09 13:20:00;-34,7;73.3
22;2020/09/09 13:21:00;-34,7;73.3
23;2020/09/09 13:22:00;-34,7;73.7
24;2020/09/09 13:23:00;-34,7;73.7
25;2020/09/09 13:24:00;-34,7;74.2
26;2020/09/09 13:25:00;-34,6;74.2
27;2020/09/09 13:26:00;-34,6;74.2
28;2020/09/09 13:27:00;-34,6;74.2
