RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V 475;;
Number;719AH10166;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;3415;;
Temperature Maximum;33.7°C;;
Temperature Minimum;7.3°C;;
Temperature Average;15.6°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;87.6%RH;;
Humidity Minimum;24.6%RH;;
Humidity Average;59.2%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;9/09/2020 14:16;;
End Time;21/09/2020 10:46;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2020/09/09 13:00:00;-20,9;57.8
2;2020/09/09 13:01:00;-20,7;61.1
3;2020/09/09 13:02:00;-20,2;61.6
4;2020/09/09 13:03:00;-20,4;60.9
5;2020/09/09 13:04:00;-22,5;63.5
6;2020/09/09 13:05:00;-23,9;65.7
7;2020/09/09 13:06:00;-24,7;67
8;2020/09/09 13:07:00;-25,2;68.3
9;2020/09/09 13:08:00;-25,6;69.1
10;2020/09/09 13:09:00;-25,8;69.5
11;2020/09/09 13:10:00;-25,8;70.4
12;2020/09/09 13:11:00;-25,9;70.9
13;2020/09/09 13:12:00;-25,9;71.3
14;2020/09/09 13:13:00;-25,9;71.3
15;2020/09/09 13:14:00;-25,9;71.7
16;2020/09/09 13:15:00;-25,9;72.2
17;2020/09/09 13:16:00;-25,8;72.2
18;2020/09/09 13:17:00;-25,8;72.2
19;2020/09/09 13:18:00;-25,8;72.2
20;2020/09/09 13:19:00;-25,7;72.3
21;2020/09/09 13:20:00;-25,7;72.3
22;2020/09/09 13:21:00;-25,7;72.3
23;2020/09/09 13:22:00;-25,7;71.8
24;2020/09/09 13:23:00;-25,7;72.3
25;2020/09/09 13:24:00;-25,7;72.3
26;2020/09/09 13:25:00;-25,6;72.3
27;2020/09/09 13:26:00;-25,6;72.3
28;2020/09/09 13:27:00;-25,6;71.8
29;2020/09/09 13:28:00;-25,6;72.3
30;2020/09/09 13:29:00;-25,6;72.2
31;2020/09/09 13:30:00;-25,7;72.2
32;2020/09/09 13:31:00;-25,7;72.2
