RC-4HC Temperature+Humidity Data Logger;;;
User Information;00V285;;
Number;00v285;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;3427;;
Temperature Maximum;28.2°C;;
Temperature Minimum;7.8°C;;
Temperature Average;15.7°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;85.7%RH;;
Humidity Minimum;37.8%RH;;
Humidity Average;59.9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;9/09/2020 14:16;;
End Time;21/09/2020 11:46;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2020/09/09 13:00:00;-27,9;51.4
2;2020/09/09 13:01:00;-27,7;54.6
3;2020/09/09 13:02:00;-27,2;56.9
4;2020/09/09 13:03:00;-27,4;58.3
5;2020/09/09 13:04:00;-29,5;58.1
6;2020/09/09 13:05:00;-30,9;61.2
7;2020/09/09 13:06:00;-31,7;63.8
8;2020/09/09 13:07:00;-32,2;65.5
9;2020/09/09 13:08:00;-32,6;66.8
10;2020/09/09 13:09:00;-32,8;68.1
11;2020/09/09 13:10:00;-32,8;69
12;2020/09/09 13:11:00;-32,9;69.4
13;2020/09/09 13:12:00;-32,9;69.8
14;2020/09/09 13:13:00;-32,9;70.3
15;2020/09/09 13:14:00;-32,9;70.3
16;2020/09/09 13:15:00;-32,9;70.7
17;2020/09/09 13:16:00;-32,8;71.6
18;2020/09/09 13:17:00;-32,8;72
19;2020/09/09 13:18:00;-32,8;72
20;2020/09/09 13:19:00;-32,7;71.6
21;2020/09/09 13:20:00;-32,7;72.1
22;2020/09/09 13:21:00;-32,7;72
23;2020/09/09 13:22:00;-32,7;72
24;2020/09/09 13:23:00;-32,7;72
25;2020/09/09 13:24:00;-32,7;72.5
26;2020/09/09 13:25:00;-32,6;72.5
27;2020/09/09 13:26:00;-32,6;72.5
28;2020/09/09 13:27:00;-32,6;72.5
29;2020/09/09 13:28:00;-32,6;72.5
30;2020/09/09 13:29:00;-32,6;72.5
31;2020/09/09 13:30:00;-32,7;72.5
32;2020/09/09 13:31:00;-32,7;72.9
33;2020/09/09 13:32:00;-32,8;72.9
34;2020/09/09 13:33:00;-32,7;73.3
35;2020/09/09 13:34:00;-32,7;73.3
36;2020/09/09 13:35:00;-32,7;73.8
37;2020/09/09 13:36:00;-32,7;73.8
38;2020/09/09 13:37:00;-32,6;73.8
39;2020/09/09 13:38:00;-32,6;73.8
40;2020/09/09 13:39:00;-32,5;73.8
41;2020/09/09 13:40:00;-32,4;73.8
42;2020/09/09 13:41:00;-32,3;73.8
43;2020/09/09 13:42:00;-32,3;73.8
44;2020/09/09 13:43:00;-32,3;73.8
45;2020/09/09 13:44:00;-32,3;73.8
46;2020/09/09 13:45:00;-32,4;73.4
47;2020/09/09 13:46:00;-32,4;73.4
48;2020/09/09 13:47:00;-32,5;73.4
49;2020/09/09 13:48:00;-32,6;73.4
50;2020/09/09 13:49:00;-32,7;73.8
51;2020/09/09 13:50:00;-32,8;73.7
52;2020/09/09 13:51:00;-32,9;73.7
53;2020/09/09 13:52:00;-33;74.1
54;2020/09/09 13:53:00;-33,1;74.1
55;2020/09/09 13:54:00;-33,2;74.5
56;2020/09/09 13:55:00;-33,3;74.5
57;2020/09/09 13:56:00;-33,3;74.5
58;2020/09/09 13:57:00;-33,4;74.5
59;2020/09/09 13:58:00;-33,5;74.4
60;2020/09/09 13:59:00;-33,6;74.4
61;2020/09/09 14:00:00;-33,6;74.4
62;2020/09/09 14:01:00;-33,7;74.8
63;2020/09/09 14:02:00;-33,8;74.8
64;2020/09/09 14:03:00;-33,9;74.8
65;2020/09/09 14:04:00;-34;74.8
66;2020/09/09 14:05:00;-34,1;75.2
67;2020/09/09 14:06:00;-34,1;75.1
68;2020/09/09 14:07:00;-34,2;75.1
69;2020/09/09 14:08:00;-34,3;75.5
70;2020/09/09 14:09:00;-34,4;75.5
71;2020/09/09 14:10:00;-34,4;75.5
72;2020/09/09 14:11:00;-34,5;75.5
73;2020/09/09 14:12:00;-34,6;75.9
74;2020/09/09 14:13:00;-34,7;75.9
75;2020/09/09 14:14:00;-34,7;75.9
76;2020/09/09 14:15:00;-34,8;75.8
77;2020/09/09 14:16:00;-34,8;75.8
78;2020/09/09 14:17:00;-34,9;75.8
79;2020/09/09 14:18:00;-34,9;75.8
80;2020/09/09 14:19:00;-35;75.8
81;2020/09/09 14:20:00;-35;75.8
82;2020/09/09 14:21:00;-35,1;76.2
83;2020/09/09 14:22:00;-35,2;76.2
84;2020/09/09 14:23:00;-35,2;76.2
85;2020/09/09 14:24:00;-35,3;76.2
86;2020/09/09 14:25:00;-35,3;76.2
87;2020/09/09 14:26:00;-35,3;76.1
88;2020/09/09 14:27:00;-35,4;76.5
89;2020/09/09 14:28:00;-35,4;76.5
90;2020/09/09 14:29:00;-35,5;76.5
91;2020/09/09 14:30:00;-35,5;76.5
92;2020/09/09 14:31:00;-35,5;76.5
93;2020/09/09 14:32:00;-35,5;76.5
94;2020/09/09 14:33:00;-35,5;76.5
95;2020/09/09 14:34:00;-35,5;76.5
96;2020/09/09 14:35:00;-35,6;76.5
97;2020/09/09 14:36:00;-35,6;76.5
98;2020/09/09 14:37:00;-35,6;76.5
99;2020/09/09 14:38:00;-35,7;76.9
100;2020/09/09 14:39:00;-35,7;76.9
101;2020/09/09 14:40:00;-35,7;76.9
102;2020/09/09 14:41:00;-35,7;76.9
103;2020/09/09 14:42:00;-35,8;76.9
104;2020/09/09 14:43:00;-35,8;76.9
105;2020/09/09 14:44:00;-35,8;76.9
106;2020/09/09 14:45:00;-35,8;76.8
107;2020/09/09 14:46:00;-35,8;77.3
108;2020/09/09 14:47:00;-35,8;77.3
109;2020/09/09 14:48:00;-35,8;77.3
110;2020/09/09 14:49:00;-35,8;77.3
111;2020/09/09 14:50:00;-35,8;77.3
112;2020/09/09 14:51:00;-35,8;77.2
113;2020/09/09 14:52:00;-35,8;77.2
114;2020/09/09 14:53:00;-35,8;77.3
115;2020/09/09 14:54:00;-35,8;77.3
116;2020/09/09 14:55:00;-35,8;77.2
117;2020/09/09 14:56:00;-35,8;77.3
118;2020/09/09 14:57:00;-35,8;77.3
119;2020/09/09 14:58:00;-35,8;77.7
120;2020/09/09 14:59:00;-35,8;77.7
121;2020/09/09 15:00:00;-35,8;77.7
122;2020/09/09 15:01:00;-35,8;77.7
123;2020/09/09 15:02:00;-35,8;77.7
124;2020/09/09 15:03:00;-35,8;77.7
