;1;2;3;4;5;6;7;8;9;10;11
;Sonda 1 BC 2;Sonda 3 BC 2;Sonda 2 BC 2;Sonda 1 9F 3;Sonda 2 9F 3;Sonda 3 9F 3;Sonda 4 BC 2;Sonda 4 146 1;Sonda 1 146 1;Sonda 3 146 1;Sonda 2 146 1
04-03-2021 6:00;-74,75;-75,33;-77,08;-79,42;-79,61;-79,98;-76,5;-78,25;-74,75;-74,55;-75,53
04-03-2021 6:01;-74,55;-75,33;-76,89;-79,42;-79,42;-79,81;-76,5;-78,25;-74,75;-74,36;-75,33
04-03-2021 6:02;-74,55;-75,14;-76,89;-79,42;-79,42;-79,81;-76,5;-78,25;-74,36;-74,36;-74,94
04-03-2021 6:03;-74,36;-75,14;-76,89;-79,22;-79,42;-79,61;-76,3;-78,44;-74,75;-74,36;-74,94
04-03-2021 6:04;-74,36;-75,14;-76,89;-79,22;-79,22;-79,42;-76,3;-78,05;-74,36;-74,16;-75,33
04-03-2021 6:05;-74,16;-74,94;-76,89;-79,03;-79,22;-79,42;-76,3;-78,25;-74,55;-74,36;-75,53
04-03-2021 6:06;-74,16;-74,94;-76,89;-79,03;-79,03;-79,42;-76,3;-77,67;-74,75;-74,94;-76,11
04-03-2021 6:07;-73,97;-74,94;-76,89;-78,83;-79,22;-79,42;-76,3;-78,44;-75,33;-75,14;-75,91
04-03-2021 6:08;-74,36;-75,14;-76,89;-79,22;-79,22;-79,22;-76,3;-78,25;-75,33;-75,14;-76,11
04-03-2021 6:09;-74,16;-74,94;-76,89;-79,03;-79,42;-79,61;-76,5;-78,25;-75,72;-75,33;-76,69
04-03-2021 6:10;-74,36;-75,14;-76,89;-79,42;-79,22;-79,42;-76,5;-78,25;-75,72;-75,53;-75,91
04-03-2021 6:11;-74,55;-75,14;-76,89;-79,22;-79,42;-79,42;-76,3;-78,44;-75,72;-75,33;-76,11
04-03-2021 6:12;-74,75;-75,33;-77,08;-79,42;-79,42;-79,61;-76,5;-78,25;-75,72;-75,33;-76,3
04-03-2021 6:13;-74,55;-75,33;-76,89;-79,61;-79,42;-79,81;-76,5;-78,25;-75,72;-75,53;-76,5
04-03-2021 6:14;-74,75;-75,33;-76,89;-79,81;-79,42;-79,61;-76,5;-77,67;-75,53;-75,53;-75,91
04-03-2021 6:15;-74,94;-75,33;-77,08;-79,61;-79,81;-79,81;-76,69;-78,44;-75,33;-75,33;-75,91
04-03-2021 6:16;-74,94;-75,53;-77,08;-79,61;-79,81;-79,81;-76,69;-78,44;-75,33;-75,33;-76,5
04-03-2021 6:17;-74,94;-75,53;-77,08;-79,81;-79,61;-79,81;-76,5;-78,25;-75,33;-75,14;-76,3
04-03-2021 6:18;-75,14;-75,53;-77,08;-79,98;-79,81;-79,98;-76,89;-79,03;-75,53;-75,33;-76,11
04-03-2021 6:19;-75,14;-75,53;-77,08;-79,98;-79,81;-79,98;-76,89;-78,64;-75,14;-74,94;-76,11
04-03-2021 6:21;-75,33;-75,72;-77,08;-80,17;-79,98;-80,17;-76,89;-78,44;-75,33;-75,14;-75,91
04-03-2021 6:22;-75,14;-75,72;-77,08;-79,81;-79,98;-80,36;-76,89;-78,44;-75,33;-75,14;-75,91
04-03-2021 6:23;-74,94;-75,53;-77,08;-79,81;-79,81;-80,17;-76,69;-78,44;-75,14;-74,94;-75,91
04-03-2021 6:24;-74,94;-75,53;-77,08;-79,81;-79,81;-80,17;-76,69;-78,44;-75,14;-74,94;-75,72
04-03-2021 6:25;-74,75;-75,33;-77,08;-79,61;-79,61;-80,17;-76,69;-78,25;-74,94;-74,75;-75,72
04-03-2021 6:26;-74,55;-75,33;-77,08;-79,61;-79,61;-79,98;-76,5;-78,25;-74,94;-74,55;-75,53
04-03-2021 6:27;-74,36;-75,14;-77,08;-79,42;-79,42;-79,81;-76,5;-78,25;-74,75;-74,55;-75,53
04-03-2021 6:28;-74,36;-75,14;-76,89;-79,22;-79,42;-79,81;-76,5;-78,25;-74,75;-74,36;-75,33
04-03-2021 6:29;-74,16;-74,94;-76,89;-79,22;-79,22;-79,61;-76,5;-78,44;-74,55;-74,36;-75,53
04-03-2021 6:30;-74,16;-74,94;-76,89;-79,42;-79,22;-79,22;-76,3;-78,05;-74,55;-74,36;-75,91
04-03-2021 6:31;-74,16;-74,94;-76,89;-79,22;-79,03;-79,22;-76,3;-78,25;-74,75;-74,36;-75,33
04-03-2021 6:32;-74,16;-74,94;-76,89;-79,22;-79,22;-79,22;-76,3;-78,64;-74,75;-74,75;-75,33
04-03-2021 6:33;-74,16;-74,94;-77,08;-79,03;-79,03;-79,22;-76,3;-78,05;-75,33;-74,94;-76,11
04-03-2021 6:34;-74,16;-74,94;-76,89;-79,22;-79,03;-79,03;-76,5;-78,44;-75,53;-75,53;-76,5
04-03-2021 6:35;-74,36;-74,94;-76,89;-79,22;-79,22;-79,22;-76,5;-78,64;-75,53;-75,33;-76,11
04-03-2021 6:36;-74,36;-75,14;-76,89;-79,22;-79,22;-79,61;-76,5;-78,05;-75,72;-75,53;-76,5
04-03-2021 6:37;-74,55;-75,14;-76,89;-79,22;-79,42;-79,42;-76,3;-78,25;-75,53;-75,53;-76,5
04-03-2021 6:38;-74,75;-75,14;-76,89;-79,42;-79,42;-79,42;-76,5;-78,05;-75,72;-75,53;-76,3
04-03-2021 6:39;-74,75;-75,33;-77,08;-79,61;-79,42;-79,61;-76,5;-78,44;-75,14;-75,72;-76,5
04-03-2021 6:40;-74,75;-75,33;-76,89;-79,42;-79,61;-79,61;-76,5;-78,83;-75,53;-75,53;-75,91
04-03-2021 6:41;-74,94;-75,33;-77,08;-79,42;-79,61;-79,81;-76,5;-78,25;-75,33;-75,33;-75,91
04-03-2021 6:42;-74,94;-75,53;-76,89;-79,81;-79,61;-79,81;-76,5;-78,44;-75,33;-75,33;-76,3
04-03-2021 6:43;-74,94;-75,53;-77,08;-79,98;-79,81;-79,98;-76,5;-78,25;-75,91;-75,33;-76,11
04-03-2021 6:44;-75,14;-75,72;-77,08;-79,98;-79,81;-80,17;-76,69;-78,64;-75,72;-75,14;-75,91
