Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;23-02-2021;9:52:32;-71,6;T4 KTemp C;-72,2;T1 KTemp C;-73,6;T2 KTemp C;-70,2;T3 KTemp C;-70,1;T4 KTemp C
3;23-02-2021;9:53:32;-71,6;T4 KTemp C;-72,3;T1 KTemp C;-73,6;T2 KTemp C;-70,3;T3 KTemp C;-70,2;T4 KTemp C
5;23-02-2021;9:54:32;-71,4;T4 KTemp C;-72,2;T1 KTemp C;-73,4;T2 KTemp C;-70;T3 KTemp C;-70;T4 KTemp C
7;23-02-2021;9:55:32;-71,2;T4 KTemp C;-72,1;T1 KTemp C;-73,3;T2 KTemp C;-69,9;T3 KTemp C;-70;T4 KTemp C
9;23-02-2021;9:56:32;-71,1;T4 KTemp C;-72,1;T1 KTemp C;-73,1;T2 KTemp C;-69,8;T3 KTemp C;-69,7;T4 KTemp C
11;23-02-2021;9:57:32;-70,9;T4 KTemp C;-72;T1 KTemp C;-72,8;T2 KTemp C;-69,5;T3 KTemp C;-69,5;T4 KTemp C
13;23-02-2021;9:58:32;-70,7;T4 KTemp C;-71,8;T1 KTemp C;-72,7;T2 KTemp C;-69,4;T3 KTemp C;-69,5;T4 KTemp C
15;23-02-2021;9:59:32;-69,2;T4 KTemp C;-71,8;T1 KTemp C;-72,4;T2 KTemp C;-69,2;T3 KTemp C;-69,4;T4 KTemp C
17;23-02-2021;10:00:32;-69,4;T4 KTemp C;-71,5;T1 KTemp C;-71,2;T2 KTemp C;-59;T3 KTemp C;-56,5;T4 KTemp C
19;23-02-2021;10:01:32;-69,3;T4 KTemp C;-71,3;T1 KTemp C;-70,7;T2 KTemp C;-62,8;T3 KTemp C;-61,6;T4 KTemp C
21;23-02-2021;10:02:32;-69,2;T4 KTemp C;-71,1;T1 KTemp C;-70,4;T2 KTemp C;-64;T3 KTemp C;-63,7;T4 KTemp C
23;23-02-2021;10:03:32;-69;T4 KTemp C;-70,8;T1 KTemp C;-70,1;T2 KTemp C;-64,3;T3 KTemp C;-64,3;T4 KTemp C
25;23-02-2021;10:04:32;-68,9;T4 KTemp C;-70,7;T1 KTemp C;-70;T2 KTemp C;-64,6;T3 KTemp C;-64,7;T4 KTemp C
27;23-02-2021;10:05:32;-68,6;T4 KTemp C;-70,5;T1 KTemp C;-69,9;T2 KTemp C;-64,8;T3 KTemp C;-64,7;T4 KTemp C
29;23-02-2021;10:06:32;-68,4;T4 KTemp C;-70,4;T1 KTemp C;-69,7;T2 KTemp C;-64,8;T3 KTemp C;-64,8;T4 KTemp C
31;23-02-2021;10:07:32;-68,2;T4 KTemp C;-70,3;T1 KTemp C;-69,6;T2 KTemp C;-65;T3 KTemp C;-65;T4 KTemp C
33;23-02-2021;10:08:32;-68,1;T4 KTemp C;-70,2;T1 KTemp C;-69,4;T2 KTemp C;-64,8;T3 KTemp C;-64,9;T4 KTemp C
35;23-02-2021;10:09:32;-67,9;T4 KTemp C;-70,1;T1 KTemp C;-69,2;T2 KTemp C;-64,8;T3 KTemp C;-64,8;T4 KTemp C
37;23-02-2021;10:10:32;-67,7;T4 KTemp C;-70;T1 KTemp C;-69,1;T2 KTemp C;-64,7;T3 KTemp C;-64,8;T4 KTemp C
39;23-02-2021;10:11:32;-67,5;T4 KTemp C;-69,9;T1 KTemp C;-69;T2 KTemp C;-64,7;T3 KTemp C;-64,7;T4 KTemp C
41;23-02-2021;10:12:32;-67,3;T4 KTemp C;-69,8;T1 KTemp C;-68,7;T2 KTemp C;-64,7;T3 KTemp C;-64,7;T4 KTemp C
43;23-02-2021;10:13:32;-67,4;T4 KTemp C;-69,7;T1 KTemp C;-68,7;T2 KTemp C;-64,6;T3 KTemp C;-64,6;T4 KTemp C
45;23-02-2021;10:14:32;-67,8;T4 KTemp C;-69,7;T1 KTemp C;-68,8;T2 KTemp C;-65;T3 KTemp C;-64,8;T4 KTemp C
47;23-02-2021;10:15:32;-68,3;T4 KTemp C;-69,7;T1 KTemp C;-69,6;T2 KTemp C;-65,5;T3 KTemp C;-65,2;T4 KTemp C
49;23-02-2021;10:16:32;-68,8;T4 KTemp C;-70;T1 KTemp C;-70,4;T2 KTemp C;-65,9;T3 KTemp C;-65,6;T4 KTemp C
51;23-02-2021;10:17:32;-69,2;T4 KTemp C;-70,1;T1 KTemp C;-71,1;T2 KTemp C;-66,6;T3 KTemp C;-66,3;T4 KTemp C
53;23-02-2021;10:18:32;-69,8;T4 KTemp C;-70,4;T1 KTemp C;-71,8;T2 KTemp C;-67,3;T3 KTemp C;-66,9;T4 KTemp C
55;23-02-2021;10:19:32;-70,2;T4 KTemp C;-70,7;T1 KTemp C;-72,4;T2 KTemp C;-67,8;T3 KTemp C;-67,6;T4 KTemp C
57;23-02-2021;10:20:32;-70,5;T4 KTemp C;-71;T1 KTemp C;-72,9;T2 KTemp C;-68,4;T3 KTemp C;-68,2;T4 KTemp C
